REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,,,,,,,
"",MAY,% CHANGE,APRIL -MAY,% CHANGE,MAY,% CHANGE,APRIL -MAY,% CHANGE,MAY,% CHANGE,APRIL -MAY,% CHANGE,,,,,,
"",2017,2016,2017-18,2016-17,2017,2016,2017-18,2016-17,2017,2016,2017-18,2016-17,,,,,,
AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,,,,,,,,,,
EASTERN,1928,1555,24.0,3798,3132,21.3,18201,13812,31.8,35718,26920,32.7,20129,15367,31.0,39516,30052,31.5
WESTERN,8835,8457,4.5,17388,16679,4.3,39601,36626,8.1,76536,71152,7.6,48436,45083,7.4,93924,87831,6.9
SOUTHERN,14654,13415,9.2,28819,26626,8.2,45399,42571,6.6,86580,81907,5.7,60053,55986,7.3,115399,108533,6.3
NORTHERN,10162,9265,9.7,19985,18169,10.0,42919,37947,13.1,83165,73539,13.1,53081,47212,12.4,103150,91708,12.5
NORTH EAST,34,35,-2.9,70,70,0.0,6226,5108,21.9,12157,9965,22.0,6260,5143,21.7,12227,10035,21.8
TOTAL,35613,32727,8.8,70060,64676,8.3,152346,136064,12.0,294156,263483,11.6,187959,168791,11.4,364216,328159,11.0
PASSENGERS (IN NUMBER),,,,,,,,,,,,,,,,,,
EASTERN,230155,195052,18.0,437471,379154,15.4,2510469,1763354,42.4,4740811,3412502,38.9,2740624,1958406,39.9,5178282,3791656,36.6
WESTERN,1447532,1329440,8.9,2723927,2531790,7.6,5486031,4927727,11.3,10345422,9453226,9.4,6933563,6257167,10.8,13069349,11985016,9.0
SOUTHERN,2292335,2147467,6.7,4428973,4142054,6.9,5524841,4796188,15.2,10514048,9197648,14.3,7817176,6943655,12.6,14943021,13339702,12.0
NORTHERN,1503840,1313506,14.5,2978734,2613201,14.0,5837736,5075001,15.0,11187913,9754229,14.7,7341576,6388507,14.9,14166647,12367430,14.5
NORTH EAST,2099,1965,6.8,4204,3756,11.9,687856,515144,33.5,1336276,1000280,33.6,689955,517109,33.4,1340480,1004036,33.5
TOTAL,5475961,4987430,9.8,10573309,9669955,9.3,20046933,17077414,17.4,38124470,32817885,16.2,25522894,22064844,15.7,48697779,42487840,14.6
FREIGHT (IN TONNES),,,,,,,,,,,,,,,,,,
EASTERN,6027,4518,33.4,10918,8418,29.7,12405,11358,9.2,23041,21197,8.7,18432,15876,16.1,33959,29615,14.7
WESTERN,58532,46230,26.6,114377,90739,26.1,31332,26937,16.3,59789,52294,14.3,89864,73167,22.8,174166,143033,21.8
SOUTHERN,61435,53486,14.9,119947,105246,14.0,26144,23859,9.6,50260,45791,9.8,87579,77345,13.2,170207,151037,12.7
NORTHERN,58494,48717,20.1,114147,92814,23.0,29021,26765,8.4,55402,51364,7.9,87515,75482,15.9,169549,144178,17.6
NORTH EAST,1,0,-,1,0,-,2764,2368,16.7,6208,4645,33.6,2765,2368,16.8,6209,4645,33.7
TOTAL,184489,152951,20.6,359390,297217,20.9,101666,91287,11.4,194700,175291,11.1,286155,244238,17.2,554090,472508,17.3
REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,
"",MAY,APRIL -MAY,MAY,APRIL -MAY,MAY,APRIL -MAY,,,,,,
"",2017,2016,2017-18,2016-17,2017,2016,2017-18,2016-17,2017,2016,2017-18,2016-17
AIRCRAFT MOVEMENTS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,5.41,4.75,5.42,4.84,11.95,10.15,12.14,10.22,10.71,9.10,10.85,9.16
WESTERN,24.81,25.84,24.82,25.79,25.99,26.92,26.02,27.00,25.77,26.71,25.79,26.76
SOUTHERN,41.15,40.99,41.13,41.17,29.80,31.29,29.43,31.09,31.95,33.17,31.68,33.07
NORTHERN,28.53,28.31,28.53,28.09,28.17,27.89,28.27,27.91,28.24,27.97,28.32,27.95
NORTH EAST,0.10,0.11,0.10,0.11,4.09,3.75,4.13,3.78,3.33,3.05,3.36,3.06
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PASSENGERS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,4.28,3.91,4.18,3.92,12.52,10.33,12.44,10.40,10.78,8.88,10.66,8.92
WESTERN,25.07,26.66,25.05,26.18,27.37,28.86,27.14,28.81,26.88,28.36,26.69,28.21
SOUTHERN,42.64,43.06,42.29,42.83,27.56,28.08,27.58,28.03,30.75,31.47,30.75,31.40
NORTHERN,27.97,26.34,28.44,27.02,29.12,29.72,29.35,29.72,28.88,28.95,29.15,29.11
NORTH EAST,0.04,0.04,0.04,0.04,3.43,3.02,3.51,3.05,2.71,2.34,2.76,2.36
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
FREIGHT (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,3.27,2.95,3.04,2.83,12.20,12.44,11.83,12.09,6.44,6.50,6.13,6.27
WESTERN,31.73,30.23,31.83,30.53,30.82,29.51,30.71,29.83,31.40,29.96,31.43,30.27
SOUTHERN,33.30,34.97,33.38,35.41,25.72,26.14,25.81,26.12,30.61,31.67,30.72,31.96
NORTHERN,31.71,31.85,31.76,31.23,28.55,29.32,28.46,29.30,30.58,30.91,30.60,30.51
NORTH EAST,0.00,0.00,0.00,0.00,2.72,2.59,3.19,2.65,0.97,0.97,1.12,0.98
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
