REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,,,,,,,
"",MARCH,% CHANGE,APRIL -MARCH,% CHANGE,MARCH,% CHANGE,APRIL -MARCH,% CHANGE,MARCH,% CHANGE,APRIL -MARCH,% CHANGE,,,,,,
"",2017,2016,2016-17,2015-16,2017,2016,2016-17,2015-16,2017,2016,2016-17,2015-16,,,,,,
AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,,,,,,,,,,
EASTERN,1942,1686,15.2,20198,21285,-5.1,18196,13560,34.2,182365,149366,22.1,20138,15246,32.1,202563,170651,18.7
WESTERN,8975,8376,7.2,101641,94189,7.9,37899,36265,4.5,439405,415104,5.9,46874,44641,5.0,541046,509293,6.2
SOUTHERN,13915,13478,3.2,163520,156222,4.7,43057,38530,11.7,511852,421271,21.5,56972,52008,9.5,675372,577493,16.9
NORTHERN,10320,9163,12.6,114569,102783,11.5,40809,35114,16.2,447302,378693,18.1,51129,44277,15.5,561871,481476,16.7
NORTH EAST,34,34,0.0,494,516,-4.3,6251,4986,25.4,67739,56028,20.9,6285,5020,25.2,68233,56544,20.7
TOTAL,35186,32737,7.5,400422,374995,6.8,146212,128455,13.8,1648663,1420462,16.1,181398,161192,12.5,2049085,1795457,14.1
PASSENGERS (IN NUMBER),,,,,,,,,,,,,,,,,,
EASTERN,229824,201258,14.2,2403349,2324968,3.4,2220071,1714087,29.5,23108622,17985266,28.5,2449895,1915345,27.9,25511971,20310234,25.6
WESTERN,1320349,1230365,7.3,15404170,14162005,8.8,4877301,4544632,7.3,57827368,51119767,13.1,6197650,5774997,7.3,73231538,65281772,12.2
SOUTHERN,1962099,1885047,4.1,24103428,22599491,6.7,4746713,4181284,13.5,57891334,46105450,25.6,6708812,6066331,10.6,81994762,68704941,19.3
NORTHERN,1622130,1459777,11.1,17343725,15543765,11.6,5371961,4666329,15.1,59908677,48758222,22.9,6994091,6126106,14.2,77252402,64301987,20.1
NORTH EAST,1564,1754,-10.8,30319,31975,-5.2,626699,484834,29.3,6948731,5324310,30.5,628263,486588,29.1,6979050,5356285,30.3
TOTAL,5135966,4778201,7.5,59284991,54662204,8.5,17842745,15591166,14.4,205684732,169293015,21.5,22978711,20369367,12.8,264969723,223955219,18.3
FREIGHT (IN TONNES),,,,,,,,,,,,,,,,,,
EASTERN,5984,4263,40.4,56958,48602,17.2,11356,9738,16.6,128293,119297,7.5,17340,14001,23.8,185251,167899,10.3
WESTERN,62935,49737,26.5,580006,521638,11.2,31022,27211,14.0,338476,306772,10.3,93957,76948,22.1,918482,828410,10.9
SOUTHERN,65216,57045,14.3,652928,590654,10.5,25444,23668,7.5,295522,274385,7.7,90660,80713,12.3,948450,865039,9.6
NORTHERN,57622,45229,27.4,565166,496793,13.8,28720,26831,7.0,330417,319737,3.3,86342,72060,19.8,895583,816530,9.7
NORTH EAST,1,1,0.0,3,11,-72.7,2599,2231,16.5,30472,26676,14.2,2600,2232,16.5,30475,26687,14.2
TOTAL,191758,156275,22.7,1855061,1657698,11.9,99141,89679,10.6,1123180,1046867,7.3,290899,245954,18.3,2978241,2704565,10.1
REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,
"",MARCH,APRIL -MARCH,MARCH,APRIL -MARCH,MARCH,APRIL -MARCH,,,,,,
"",2017,2016,2016-17,2015-16,2017,2016,2016-17,2015-16,2017,2016,2016-17,2015-16
AIRCRAFT MOVEMENTS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,5.52,5.15,5.04,5.68,12.44,10.56,11.06,10.52,11.10,9.46,9.89,9.50
WESTERN,25.51,25.59,25.38,25.12,25.92,28.23,26.65,29.22,25.84,27.69,26.40,28.37
SOUTHERN,39.55,41.17,40.84,41.66,29.45,29.99,31.05,29.66,31.41,32.26,32.96,32.16
NORTHERN,29.33,27.99,28.61,27.41,27.91,27.34,27.13,26.66,28.19,27.47,27.42,26.82
NORTH EAST,0.10,0.10,0.12,0.14,4.28,3.88,4.11,3.94,3.46,3.11,3.33,3.15
