REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,,,,,,,
"",JULY,% CHANGE,APRIL -JULY,% CHANGE,JULY,% CHANGE,APRIL -JULY,% CHANGE,JULY,% CHANGE,APRIL -JULY,% CHANGE,,,,,,
"",2017,2016,2017-18,2016-17,2017,2016,2017-18,2016-17,2017,2016,2017-18,2016-17,,,,,,
AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,,,,,,,,,,
EASTERN,1939,1527,27.0,7656,6117,25.2,17523,13723,27.7,70615,54262,30.1,19462,15250,27.6,78271,60379,29.6
WESTERN,8745,8356,4.7,34687,33151,4.6,40387,36679,10.1,155688,143340,8.6,49132,45035,9.1,190375,176491,7.9
SOUTHERN,14999,13533,10.8,58163,53415,8.9,45395,42573,6.6,176095,165721,6.3,60394,56106,7.6,234258,219136,6.9
NORTHERN,10354,9376,10.4,40226,36545,10.1,43050,37573,14.6,168360,148094,13.7,53404,46949,13.7,208586,184639,13.0
NORTH EAST,66,36,83.3,169,144,17.4,5970,5021,18.9,24127,19919,21.1,6036,5057,19.4,24296,20063,21.1
TOTAL,36103,32828,10.0,140901,129372,8.9,152325,135569,12.4,594885,531336,12.0,188428,168397,11.9,735786,660708,11.4
PASSENGERS (IN NUMBER),,,,,,,,,,,,,,,,,,
EASTERN,214167,175387,22.1,862581,732659,17.7,2177203,1748596,24.5,9224626,6848160,34.7,2391370,1923983,24.3,10087207,7580819,33.1
WESTERN,1303836,1241283,5.0,5293580,4956052,6.8,5099188,4758052,7.2,20544922,18625263,10.3,6403024,5999335,6.7,25838502,23581315,9.6
SOUTHERN,2230664,2081393,7.2,8678836,8140529,6.6,5375218,4830061,11.3,21152347,18373481,15.1,7605882,6911454,10.0,29831183,26514010,12.5
NORTHERN,1555529,1352466,15.0,6065401,5315429,14.1,5521662,4945284,11.7,22308317,19503186,14.4,7077191,6297750,12.4,28373718,24818615,14.3
NORTH EAST,6564,2200,198.4,12554,8055,55.9,690091,537574,28.4,2676791,2048016,30.7,696655,539774,29.1,2689345,2056071,30.8
TOTAL,5310760,4852729,9.4,20912952,19152724,9.2,18863362,16819567,12.2,75907003,65398106,16.1,24174122,21672296,11.5,96819955,84550830,14.5
FREIGHT (IN TONNES),,,,,,,,,,,,,,,,,,
EASTERN,5075,4570,11.1,21054,17429,20.8,11083,11125,-0.4,45489,42663,6.6,16158,15695,2.9,66543,60092,10.7
WESTERN,52660,43042,22.3,223295,180761,23.5,31194,28952,7.7,121853,108123,12.7,83854,71994,16.5,345148,288884,19.5
SOUTHERN,63670,56571,12.5,245699,217182,13.1,27284,26175,4.2,104005,95909,8.4,90954,82746,9.9,349704,313091,11.7
NORTHERN,51796,45606,13.6,221310,185950,19.0,28647,28188,1.6,112100,106326,5.4,80443,73794,9.0,333410,292276,14.1
NORTH EAST,0,0,"#DIV/0!",1,2,-50.0,2358,2605,-9.5,11032,9002,22.6,2358,2605,-9.5,11033,9004,22.5
TOTAL,173201,149789,15.6,711359,601324,18.3,100566,97045,3.6,394479,362023,9.0,273767,246834,10.9,1105838,963347,14.8
REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,
"",JULY,APRIL -JULY,JULY,APRIL -JULY,JULY,APRIL -JULY,,,,,,
"",2017,2016,2017-18,2016-17,2017,2016,2017-18,2016-17,2017,2016,2017-18,2016-17
AIRCRAFT MOVEMENTS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,5.37,4.65,5.43,4.73,11.50,10.12,11.87,10.21,10.33,9.06,10.64,9.14
