REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,
"",APRIL,% CHANGE,APRIL,% CHANGE,APRIL,% CHANGE,,,
"",2017,2016,2017,2016,2017,2016,,,
AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,
EASTERN,1870,1577,18.6,17517,13108,33.6,19387,14685,32.0
WESTERN,8553,8222,4.0,36935,34526,7.0,45488,42748,6.4
SOUTHERN,14165,13211,7.2,41181,39336,4.7,55346,52547,5.3
NORTHERN,9823,8904,10.3,40246,35592,13.1,50069,44496,12.5
NORTH EAST,36,35,2.9,5931,4857,22.1,5967,4892,22.0
TOTAL,34447,31949,7.8,141810,127419,11.3,176257,159368,10.6
PASSENGERS (IN NUMBER),,,,,,,,,
EASTERN,207316,184102,12.6,2230342,1649148,35.2,2437658,1833250,33.0
WESTERN,1276395,1202350,6.2,4859391,4525499,7.4,6135786,5727849,7.1
SOUTHERN,2136638,1994587,7.1,4989207,4401460,13.4,7125845,6396047,11.4
NORTHERN,1474894,1299695,13.5,5350177,4679228,14.3,6825071,5978923,14.2
NORTH EAST,2105,1791,17.5,648420,485136,33.7,650525,486927,33.6
TOTAL,5097348,4682525,8.9,18077537,15740471,14.8,23174885,20422996,13.5
FREIGHT (IN TONNES),,,,,,,,,
EASTERN,4891,3900,25.4,10636,9839,8.1,15527,13739,13.0
WESTERN,55845,44509,25.5,28457,25357,12.2,84302,69866,20.7
SOUTHERN,58512,51760,13.0,24116,21932,10.0,82628,73692,12.1
NORTHERN,55653,44097,26.2,26381,24599,7.2,82034,68696,19.4
NORTH EAST,0,0,"#DIV/0!",3444,2277,51.3,3444,2277,51.3
TOTAL,174901,144266,21.2,93034,84004,10.7,267935,228270,17.4
REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,
"",APRIL,APRIL,APRIL,,,
"",2017,2016,2017,2016,2017,2016
AIRCRAFT MOVEMENTS (SHARE IN PER CENTAGE),,,,,,
EASTERN,5.43,4.94,12.35,10.29,11.00,9.21
WESTERN,24.83,25.73,26.05,27.10,25.81,26.82
SOUTHERN,41.12,41.35,29.04,30.87,31.40,32.97
NORTHERN,28.52,27.87,28.38,27.93,28.41,27.92
NORTH EAST,0.10,0.11,4.18,3.81,3.39,3.07
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00
PASSENGERS (SHARE IN PER CENTAGE),,,,,,
EASTERN,4.07,3.93,12.34,10.48,10.52,8.98
WESTERN,25.04,25.68,26.88,28.75,26.48,28.05
SOUTHERN,41.92,42.60,27.60,27.96,30.75,31.32
NORTHERN,28.93,27.76,29.60,29.73,29.45,29.28
NORTH EAST,0.04,0.04,3.59,3.08,2.81,2.38
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00
FREIGHT (SHARE IN PER CENTAGE),,,,,,
EASTERN,2.80,2.70,11.43,11.71,5.80,6.02
WESTERN,31.93,30.85,30.59,30.19,31.46,30.61
SOUTHERN,33.45,35.88,25.92,26.11,30.84,32.28
NORTHERN,31.82,30.57,28.36,29.28,30.62,30.09
NORTH EAST,0.00,0.00,3.70,2.71,1.29,1.00
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00
