REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,,,,,,,
"",FEBRUARY,% CHANGE,APRIL -FEBRUARY,% CHANGE,FEBRUARY,% CHANGE,APRIL -FEBRUARY,% CHANGE,FEBRUARY,% CHANGE,APRIL -FEBRUARY,% CHANGE,,,,,,
"",2017,2016,2016-17,2015-16,2017,2016,2016-17,2015-16,2017,2016,2016-17,2015-16,,,,,,
AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,,,,,,,,,,
EASTERN,1768,1604,10.2,18256,19599,-6.9,16130,12440,29.7,164169,135806,20.9,17898,14044,27.4,182425,155405,17.4
WESTERN,8088,7653,5.7,92666,85813,8.0,34635,34449,0.5,401466,378839,6.0,42723,42102,1.5,494132,464652,6.3
SOUTHERN,12511,12664,-1.2,149605,142744,4.8,40128,35659,12.5,468795,382741,22.5,52639,48323,8.9,618400,525485,17.7
NORTHERN,9146,8733,4.7,104249,93620,11.4,35553,31570,12.6,406493,343579,18.3,44699,40303,10.9,510742,437199,16.8
NORTH EAST,32,54,-40.7,460,482,-4.6,5696,4609,23.6,61488,51042,20.5,5728,4663,22.8,61948,51524,20.2
TOTAL,31545,30708,2.7,365236,342258,6.7,132142,118727,11.3,1502411,1292007,16.3,163687,149435,9.5,1867647,1634265,14.3
PASSENGERS (IN NUMBER),,,,,,,,,,,,,,,,,,
EASTERN,216735,191076,13.4,2173525,2123710,2.3,2043467,1548543,32.0,20888551,16271179,28.4,2260202,1739619,29.9,23062076,18394889,25.4
WESTERN,1285202,1203175,6.8,14083821,12931640,8.9,4773055,4460459,7.0,52949943,46575135,13.7,6058257,5663634,7.0,67033764,59506775,12.6
SOUTHERN,1803201,1752923,2.9,22141329,20714444,6.9,4675687,4005239,16.7,53144621,41924166,26.8,6478888,5758162,12.5,75285950,62638610,20.2
NORTHERN,1499578,1333799,12.4,15721595,14083988,11.6,4992514,4318215,15.6,54536716,44091893,23.7,6492092,5652014,14.9,70258311,58175881,20.8
NORTH EAST,1616,2605,-38.0,28755,30221,-4.9,582072,454579,28.0,6322032,4839476,30.6,583688,457184,27.7,6350787,4869697,30.4
TOTAL,4806332,4483578,7.2,54149025,49884003,8.5,17066795,14787035,15.4,187841863,153701849,22.2,21873127,19270613,13.5,241990888,203585852,18.9
FREIGHT (IN TONNES),,,,,,,,,,,,,,,,,,
EASTERN,4429,3312,33.7,50974,44339,15.0,10138,9555,6.1,116937,109559,6.7,14567,12867,13.2,167911,153898,9.1
WESTERN,48064,43736,9.9,517071,471901,9.6,29569,24759,19.4,307454,279561,10.0,77633,68495,13.3,824525,751462,9.7
SOUTHERN,50937,47792,6.6,587712,533609,10.1,22938,22266,3.0,270078,250717,7.7,73875,70058,5.4,857790,784326,9.4
NORTHERN,45353,39456,14.9,507544,451564,12.4,25909,26027,-0.5,301697,292906,3.0,71262,65483,8.8,809241,744470,8.7
NORTH EAST,0,0,"#DIV/0!",2,10,-80.0,2377,2147,10.7,27873,24445,14.0,2377,2147,10.7,27875,24455,14.0
TOTAL,148783,134296,10.8,1663303,1501423,10.8,90931,84754,7.3,1024039,957188,7.0,239714,219050,9.4,2687342,2458611,9.3
REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,
"",FEBRUARY,APRIL -FEBRUARY,FEBRUARY,APRIL -FEBRUARY,FEBRUARY,APRIL -FEBRUARY,,,,,,
"",2017,2016,2016-17,2015-16,2017,2016,2016-17,2015-16,2017,2016,2016-17,2015-16
AIRCRAFT MOVEMENTS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,5.60,5.22,5.00,5.73,12.21,10.48,10.93,10.51,10.93,9.40,9.77,9.51
WESTERN,25.64,24.92,25.37,25.07,26.21,29.02,26.72,29.32,26.10,28.17,26.46,28.43
SOUTHERN,39.66,41.24,40.96,41.71,30.37,30.03,31.20,29.62,32.16,32.34,33.11,32.15
NORTHERN,28.99,28.44,28.54,27.35,26.91,26.59,27.06,26.59,27.31,26.97,27.35,26.75
