REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,,,,,,,
"",MARCH,% CHANGE,APRIL -MARCH,% CHANGE,MARCH,% CHANGE,APRIL -MARCH,% CHANGE,MARCH,% CHANGE,APRIL -MARCH,% CHANGE,,,,,,
"",2016,2015,2015-16,2014-15,2016,2015,2015-16,2014-15,2016,2015,2015-16,2014-15,,,,,,
AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,,,,,,,,,,
EASTERN,2009,1693,18.7,21625,18045,19.8,12817,12140,5.6,146690,140124,4.7,14826,13833,7.2,168315,158169,6.4
WESTERN,8376,7802,7.4,94189,88314,6.7,36265,33241,9.1,415104,366539,13.2,44641,41043,8.8,509293,454853,12.0
SOUTHERN,13478,12231,10.2,156222,143362,9.0,38584,32222,19.7,421729,378007,11.6,52062,44453,17.1,577951,521369,10.9
NORTHERN,9163,8145,12.5,102783,95161,8.0,35114,28009,25.4,378724,322116,17.6,44277,36154,22.5,481507,417277,15.4
NORTH EAST,34,40,-15.0,516,481,7.3,4986,4497,10.9,56028,50872,10.1,5020,4537,10.6,56544,51353,10.1
TOTAL,33060,29911,10.5,375335,345363,8.7,127766,110109,16.0,1418275,1257658,12.8,160826,140020,14.9,1793610,1603021,11.9
PASSENGERS (IN NUMBER),,,,,,,,,,,,,,,,,,
EASTERN,221519,194211,14.1,2388320,2070898,15.3,1606959,1343043,19.7,17574175,15121092,16.2,1828478,1537254,18.9,19962495,17191990,16.1
WESTERN,1230365,1162992,5.8,14162005,13433429,5.4,4544632,3833744,18.5,51119767,42351415,20.7,5774997,4996736,15.6,65281772,55784844,17.0
SOUTHERN,1885047,1733628,8.7,22599491,20513877,10.2,4182826,3339933,25.2,46113426,38330175,20.3,6067873,5073561,19.6,68712917,58844052,16.8
NORTHERN,1459777,1326499,10.0,15543765,14753428,5.4,4666329,3501501,33.3,48758288,39045987,24.9,6126106,4828000,26.9,64302053,53799415,19.5
NORTH EAST,1754,1903,-7.8,31975,27688,15.5,484834,405508,19.6,5324310,4481169,18.8,486588,407411,19.4,5356285,4508857,18.8
TOTAL,4798462,4419233,8.6,54725556,50799320,7.7,15485580,12423729,24.6,168889966,139329838,21.2,20284042,16842962,20.4,223615522,190129158,17.6
FREIGHT (IN TONNES),,,,,,,,,,,,,,,,,,
EASTERN,4376,3785,15.6,49254,47892,2.8,10026,8933,12.2,118348,112683,5.0,14402,12718,13.2,167602,160575,4.4
WESTERN,49737,47590,4.5,521638,505713,3.1,27211,24383,11.6,306772,297072,3.3,76948,71973,6.9,828410,802785,3.2
SOUTHERN,57045,51261,11.3,590654,561418,5.2,23668,21878,8.2,274385,260756,5.2,80713,73139,10.4,865039,822174,5.2
NORTHERN,45229,36587,23.6,496793,427498,16.2,26831,24300,10.4,319737,292712,9.2,72060,60887,18.4,816530,720210,13.4
NORTH EAST,1,2,-50.0,11,15,-26.7,2231,1985,12.4,26676,21798,22.4,2232,1987,12.3,26687,21813,22.3
TOTAL,156388,139225,12.3,1658350,1542536,7.5,89967,81479,10.4,1045918,985021,6.2,246355,220704,11.6,2704268,2527557,7.0
REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,
"",MARCH,APRIL -MARCH,MARCH,APRIL -MARCH,MARCH,APRIL -MARCH,,,,,,
"",2016,2015,2015-16,2014-15,2016,2015,2015-16,2014-15,2016,2015,2015-16,2014-15
AIRCRAFT MOVEMENTS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,6.08,5.66,5.76,5.22,10.03,11.03,10.34,11.14,9.22,9.88,9.38,9.87
WESTERN,25.34,26.08,25.09,25.57,28.38,30.19,29.27,29.14,27.76,29.31,28.39,28.37
SOUTHERN,40.77,40.89,41.62,41.51,30.20,29.26,29.74,30.06,32.37,31.75,32.22,32.52
NORTHERN,27.72,27.23,27.38,27.55,27.48,25.44,26.70,25.61,27.53,25.82,26.85,26.03
NORTH EAST,0.10,0.13,0.14,0.14,3.90,4.08,3.95,4.04,3.12,3.24,3.15,3.20
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PASSENGERS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,4.62,4.39,4.36,4.08,10.38,10.81,10.41,10.85,9.01,9.13,8.93,9.04
WESTERN,25.64,26.32,25.88,26.44,29.35,30.86,30.27,30.40,28.47,29.67,29.19,29.34
SOUTHERN,39.28,39.23,41.30,40.38,27.01,26.88,27.30,27.51,29.91,30.12,30.73,30.95
NORTHERN,30.42,30.02,28.40,29.04,30.13,28.18,28.87,28.02,30.20,28.66,28.76,28.30
NORTH EAST,0.04,0.04,0.06,0.05,3.13,3.26,3.15,3.22,2.40,2.42,2.40,2.37
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
FREIGHT (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,2.80,2.72,2.97,3.10,11.14,10.96,11.32,11.44,5.85,5.76,6.20,6.35
WESTERN,31.80,34.18,31.46,32.78,30.25,29.93,29.33,30.16,31.23,32.61,30.63,31.76
SOUTHERN,36.48,36.82,35.62,36.40,26.31,26.85,26.23,26.47,32.76,33.14,31.99,32.53
NORTHERN,28.92,26.28,29.96,27.71,29.82,29.82,30.57,29.72,29.25,27.59,30.19,28.49
NORTH EAST,0.00,0.00,0.00,0.00,2.48,2.44,2.55,2.21,0.91,0.90,0.99,0.86
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
