REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,,,,,,,
"",AUGUST,% CHANGE,APRIL -AUGUST,% CHANGE,AUGUST,% CHANGE,APRIL -AUGUST,% CHANGE,AUGUST,% CHANGE,APRIL -AUGUST,% CHANGE,,,,,,
"",2016,2015,2016-17,2015-16,2016,2015,2016-17,2015-16,2016,2015,2016-17,2015-16,,,,,,
AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,,,,,,,,,,
EASTERN,1621,1730,-6.3,7606,8557,-11.1,13085,11951,9.5,63944,60476,5.7,14706,13681,7.5,71550,69033,3.6
WESTERN,8220,7556,8.8,41371,37893,9.2,37316,34899,6.9,181140,167997,7.8,45536,42455,7.3,222511,205890,8.1
SOUTHERN,13697,13189,3.9,67112,64061,4.8,42291,35364,19.6,207618,168518,23.2,55988,48553,15.3,274730,232579,18.1
NORTHERN,9584,8348,14.8,46129,39874,15.7,36910,31219,18.2,185004,153506,20.5,46494,39567,17.5,231133,193380,19.5
NORTH EAST,86,66,30.3,362,222,63.1,5956,4553,30.8,29148,23132,26.0,6042,4619,30.8,29510,23354,26.4
TOTAL,33208,30889,7.5,162580,150607,7.9,135558,117986,14.9,666854,573629,16.3,168766,148875,13.4,829434,724236,14.5
PASSENGERS (IN NUMBER),,,,,,,,,,,,,,,,,,
EASTERN,187467,197198,-4.9,910686,928480,-1.9,1580127,1315000,20.2,7985360,7030394,13.6,1767594,1512198,16.9,8896046,7958874,11.8
WESTERN,1209291,1094438,10.5,6165343,5632241,9.5,4788252,4050918,18.2,23447160,20102449,16.6,5997543,5145356,16.6,29612503,25734690,15.1
SOUTHERN,2079642,1972718,5.4,10220171,9492823,7.7,4796140,3796074,26.3,23139691,18474844,25.2,6875782,5768792,19.2,33359862,27967667,19.3
NORTHERN,1407278,1263832,11.4,6722707,6044334,11.2,4760501,3778833,26.0,24263687,19287033,25.8,6167779,5042665,22.3,30986394,25331367,22.3
