REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,,,,,,,
"",MAY,% CHANGE,APRIL -MAY,% CHANGE,MAY,% CHANGE,APRIL -MAY,% CHANGE,MAY,% CHANGE,APRIL -MAY,% CHANGE,,,,,,
"",2016,2015,2016-17,2015-16,2016,2015,2016-17,2015-16,2016,2015,2016-17,2015-16,,,,,,
AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,,,,,,,,,,
EASTERN,1519,1839,-17.4,3295,3564,-7.5,12883,12576,2.4,25003,24840,0.7,14402,14415,-0.1,28298,28404,-0.4
WESTERN,8457,7838,7.9,16679,15396,8.3,36764,33541,9.6,71420,66171,7.9,45221,41379,9.3,88099,81567,8.0
SOUTHERN,13415,12784,4.9,26626,25145,5.9,42485,33716,26.0,81741,65513,24.8,55900,46500,20.2,108367,90658,19.5
NORTHERN,9265,8015,15.6,18169,15761,15.3,37947,31623,20.0,73539,60561,21.4,47212,39638,19.1,91708,76322,20.2
NORTH EAST,71,38,86.8,138,84,64.3,5987,4611,29.8,11626,9064,28.3,6058,4649,30.3,11764,9148,28.6
TOTAL,32727,30514,7.3,64907,59950,8.3,136066,116067,17.2,263329,226149,16.4,168793,146581,15.2,328236,286099,14.7
PASSENGERS (IN NUMBER),,,,,,,,,,,,,,,,,,
EASTERN,192507,189958,1.3,390881,370700,5.4,1657294,1558027,6.4,3149166,2960747,6.4,1849801,1747985,5.8,3540047,3331447,6.3
WESTERN,1329440,1241156,7.1,2531790,2343275,8.0,4936890,4255149,16.0,9470502,8268555,14.5,6266330,5496305,14.0,12002292,10611830,13.1
SOUTHERN,2147467,1996008,7.6,4142054,3831042,8.1,4788441,3868341,23.8,9183575,7430459,23.6,6935908,5864349,18.3,13325629,11261501,18.3
NORTHERN,1313506,1188120,10.6,2613201,2377291,9.9,5075001,4060876,25.0,9754229,7734920,26.1,6388507,5248996,21.7,12367430,10112211,22.3
NORTH EAST,4510,1977,128.1,8586,4324,98.6,638340,427986,49.1,1224547,839724,45.8,642850,429963,49.5,1233133,844048,46.1
TOTAL,4987430,4617219,8.0,9686512,8926632,8.5,17095966,14170379,20.6,32782019,27234405,20.4,22083396,18787598,17.5,42468531,36161037,17.4
FREIGHT (IN TONNES),,,,,,,,,,,,,,,,,,
EASTERN,4518,4038,11.9,8614,7563,13.9,10977,10579,3.8,20969,19836,5.7,15495,14617,6.0,29583,27399,8.0
WESTERN,46230,44969,2.8,90739,88635,2.4,26937,25862,4.2,52294,50210,4.2,73167,70831,3.3,143033,138845,3.0
SOUTHERN,53486,47853,11.8,105246,95020,10.8,23859,23080,3.4,45791,44684,2.5,77345,70933,9.0,151037,139704,8.1
NORTHERN,48717,42856,13.7,92814,85086,9.1,26765,25684,4.2,51364,50540,1.6,75482,68540,10.1,144178,135626,6.3
NORTH EAST,0,0,"#DIV/0!",0,1,-100.0,2368,2266,4.5,4645,4220,10.1,2368,2266,4.5,4645,4221,10.0
TOTAL,152951,139716,9.5,297413,276305,7.6,90906,87471,3.9,175063,169490,3.3,243857,227187,7.3,472476,445795,6.0
REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,
"",MAY,APRIL -MAY,MAY,APRIL -MAY,MAY,APRIL -MAY,,,,,,
"",2016,2015,2016-17,2015-16,2016,2015,2016-17,2015-16,2016,2015,2016-17,2015-16
AIRCRAFT MOVEMENTS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,4.64,6.03,5.08,5.94,9.47,10.84,9.49,10.98,8.53,9.83,8.62,9.93
WESTERN,25.84,25.69,25.70,25.68,27.02,28.90,27.12,29.26,26.79,28.23,26.84,28.51
SOUTHERN,40.99,41.90,41.02,41.94,31.22,29.05,31.04,28.97,33.12,31.72,33.01,31.69
NORTHERN,28.31,26.27,27.99,26.29,27.89,27.25,27.93,26.78,27.97,27.04,27.94,26.68
NORTH EAST,0.22,0.12,0.21,0.14,4.40,3.97,4.42,4.01,3.59,3.17,3.58,3.20
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PASSENGERS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,3.86,4.11,4.04,4.15,9.69,10.99,9.61,10.87,8.38,9.30,8.34,9.21
WESTERN,26.66,26.88,26.14,26.25,28.88,30.03,28.89,30.36,28.38,29.25,28.26,29.35
SOUTHERN,43.06,43.23,42.76,42.92,28.01,27.30,28.01,27.28,31.41,31.21,31.38,31.14
NORTHERN,26.34,25.73,26.98,26.63,29.69,28.66,29.75,28.40,28.93,27.94,29.12,27.96
NORTH EAST,0.09,0.04,0.09,0.05,3.73,3.02,3.74,3.08,2.91,2.29,2.90,2.33
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
FREIGHT (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,2.95,2.89,2.90,2.74,12.08,12.09,11.98,11.70,6.35,6.43,6.26,6.15
WESTERN,30.23,32.19,30.51,32.08,29.63,29.57,29.87,29.62,30.00,31.18,30.27,31.15
SOUTHERN,34.97,34.25,35.39,34.39,26.25,26.39,26.16,26.36,31.72,31.22,31.97,31.34
NORTHERN,31.85,30.67,31.21,30.79,29.44,29.36,29.34,29.82,30.95,30.17,30.52,30.42
NORTH EAST,0.00,0.00,0.00,0.00,2.60,2.59,2.65,2.49,0.97,1.00,0.98,0.95
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
