REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,,,,,,,
"",OCTOBER,% CHANGE,APRIL - OCTOBER,% CHANGE,OCTOBER,% CHANGE,APRIL - OCTOBER,% CHANGE,OCTOBER,% CHANGE,APRIL - OCTOBER,% CHANGE,,,,,,
"",2016,2015,2016-17,2015-16,2016,2015,2016-17,2015-16,2016,2015,2016-17,2015-16,,,,,,
AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,,,,,,,,,,
EASTERN,1711,1947,-12.1,10861,12247,-11.3,15087,12125,24.4,91910,84426,8.9,16798,14072,19.4,102771,96673,6.3
WESTERN,8689,7952,9.3,58226,53372,9.1,37724,35143,7.3,254876,237122,7.5,46413,43095,7.7,313102,290494,7.8
SOUTHERN,14062,13482,4.3,94683,90657,4.4,44651,36176,23.4,293492,239157,22.7,58713,49658,18.2,388175,329814,17.7
NORTHERN,9763,9319,4.8,65397,57143,14.4,38647,32179,20.1,259999,216266,20.2,48410,41498,16.7,325396,273409,19.0
NORTH EAST,78,62,25.8,526,318,65.4,6906,4877,41.6,41913,32418,29.3,6984,4939,41.4,42439,32736,29.6
TOTAL,34303,32762,4.7,229693,213737,7.5,143015,120500,18.7,942190,809389,16.4,177318,153262,15.7,1171883,1023126,14.5
PASSENGERS (IN NUMBER),,,,,,,,,,,,,,,,,,
EASTERN,206120,213575,-3.5,1294832,1325410,-2.3,1929857,1427777,35.2,11529402,9758600,18.1,2135977,1641352,30.1,12824234,11084010,15.7
WESTERN,1173097,1062986,10.4,8498124,7731568,9.9,4635160,4136100,12.1,32718203,28290292,15.7,5808257,5199086,11.7,41216327,36021860,14.4
SOUTHERN,1899994,1796827,5.7,14082017,13079410,7.7,4911612,3862497,27.2,32675451,25938915,26.0,6811606,5659324,20.4,46757468,39018325,19.8
NORTHERN,1399113,1279634,9.3,9490713,8500048,11.7,4954075,3992850,24.1,33942914,27036796,25.5,6353188,5272484,20.5,43433627,35536844,22.2
