REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,,,,,,,
"",JULY,% CHANGE,APRIL -JULY,% CHANGE,JULY,% CHANGE,APRIL -JULY,% CHANGE,JULY,% CHANGE,APRIL -JULY,% CHANGE,,,,,,
"",2016,2015,2016-17,2015-16,2016,2015,2016-17,2015-16,2016,2015,2016-17,2015-16,,,,,,
AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,,,,,,,,,,
EASTERN,1497,1637,-8.6,5985,6827,-12.3,12989,11938,8.8,50859,48525,4.8,14486,13575,6.7,56844,55352,2.7
WESTERN,8356,7535,10.9,33151,30337,9.3,36807,34499,6.7,143824,133098,8.1,45163,42034,7.4,176975,163435,8.3
SOUTHERN,13533,13071,3.5,53415,50872,5.0,42445,34776,22.1,165327,133154,24.2,55978,47847,17.0,218742,184026,18.9
NORTHERN,9376,8051,16.5,36545,31526,15.9,37573,31012,21.2,148094,122287,21.1,46949,39063,20.2,184639,153813,20.0
NORTH EAST,66,36,83.3,276,156,76.9,5755,4824,19.3,23192,18579,24.8,5821,4860,19.8,23468,18735,25.3
TOTAL,32828,30330,8.2,129372,119718,8.1,135569,117049,15.8,531296,455643,16.6,168397,147379,14.3,660668,575361,14.8
PASSENGERS (IN NUMBER),,,,,,,,,,,,,,,,,,
EASTERN,173193,180233,-3.9,723219,731282,-1.1,1642861,1334986,23.1,6405233,5715394,12.1,1816054,1515219,19.9,7128452,6446676,10.6
WESTERN,1241283,1074772,15.5,4956052,4537803,9.2,4766431,3945110,20.8,18658908,16051531,16.2,6007714,5019882,19.7,23614960,20589334,14.7
SOUTHERN,2081393,1856740,12.1,8140529,7520105,8.3,4821682,3739095,29.0,18343551,14678770,25.0,6903075,5595835,23.4,26484080,22198875,19.3
NORTHERN,1352466,1190411,13.6,5315429,4780502,11.2,4945284,3860861,28.1,19503186,15508200,25.8,6297750,5051272,24.7,24818615,20288702,22.3
NORTH EAST,4394,2023,117.2,17495,8046,117.4,643309,438584,46.7,2486964,1714563,45.0,647703,440607,47.0,2504459,1722609,45.4
TOTAL,4852729,4304179,12.7,19152724,17577738,9.0,16819567,13318636,26.3,65397842,53668458,21.9,21672296,17622815,23.0,84550566,71246196,18.7
FREIGHT (IN TONNES),,,,,,,,,,,,,,,,,,
EASTERN,4570,4306,6.1,17429,16175,7.8,10794,9903,9.0,41345,39287,5.2,15364,14209,8.1,58774,55462,6.0
WESTERN,43042,40963,5.1,180761,174669,3.5,28952,26311,10.0,108123,101281,6.8,71994,67274,7.0,288884,275950,4.7
SOUTHERN,56571,50778,11.4,217182,196298,10.6,26175,24341,7.5,95909,91054,5.3,82746,75119,10.2,313091,287352,9.0
NORTHERN,45606,42637,7.0,185950,168990,10.0,28188,28547,-1.3,106326,103322,2.9,73794,71184,3.7,292276,272312,7.3
NORTH EAST,0,1,-100.0,2,2,0.0,2936,2034,44.3,10320,8608,19.9,2936,2035,44.3,10322,8610,19.9
TOTAL,149789,138685,8.0,601324,556134,8.1,97045,91136,6.5,362023,343552,5.4,246834,229821,7.4,963347,899686,7.1
REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,
"",JULY,APRIL -JULY,JULY,APRIL -JULY,JULY,APRIL -JULY,,,,,,
"",2016,2015,2016-17,2015-16,2016,2015,2016-17,2015-16,2016,2015,2016-17,2015-16
AIRCRAFT MOVEMENTS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,4.56,5.40,4.63,5.70,9.58,10.20,9.57,10.65,8.60,9.21,8.60,9.62
WESTERN,25.45,24.84,25.62,25.34,27.15,29.47,27.07,29.21,26.82,28.52,26.79,28.41
SOUTHERN,41.22,43.10,41.29,42.49,31.31,29.71,31.12,29.22,33.24,32.47,33.11,31.98
NORTHERN,28.56,26.54,28.25,26.33,27.72,26.49,27.87,26.84,27.88,26.51,27.95,26.73
NORTH EAST,0.20,0.12,0.21,0.13,4.25,4.12,4.37,4.08,3.46,3.30,3.55,3.26
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PASSENGERS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,3.57,4.19,3.78,4.16,9.77,10.02,9.79,10.65,8.38,8.60,8.43,9.05
WESTERN,25.58,24.97,25.88,25.82,28.34,29.62,28.53,29.91,27.72,28.49,27.93,28.90
SOUTHERN,42.89,43.14,42.50,42.78,28.67,28.07,28.05,27.35,31.85,31.75,31.32,31.16
NORTHERN,27.87,27.66,27.75,27.20,29.40,28.99,29.82,28.90,29.06,28.66,29.35,28.48
NORTH EAST,0.09,0.05,0.09,0.05,3.82,3.29,3.80,3.19,2.99,2.50,2.96,2.42
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
FREIGHT (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,3.05,3.10,2.90,2.91,11.12,10.87,11.42,11.44,6.22,6.18,6.10,6.16
WESTERN,28.74,29.54,30.06,31.41,29.83,28.87,29.87,29.48,29.17,29.27,29.99,30.67
SOUTHERN,37.77,36.61,36.12,35.30,26.97,26.71,26.49,26.50,33.52,32.69,32.50,31.94
NORTHERN,30.45,30.74,30.92,30.39,29.05,31.32,29.37,30.07,29.90,30.97,30.34,30.27
NORTH EAST,0.00,0.00,0.00,0.00,3.03,2.23,2.85,2.51,1.19,0.89,1.07,0.96
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
