REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,,,,,,,
"",FEBRUARY,% CHANGE,APRIL -FEBRUARY,% CHANGE,FEBRUARY,% CHANGE,APRIL -FEBRUARY,% CHANGE,FEBRUARY,% CHANGE,APRIL -FEBRUARY,% CHANGE,,,,,,
"",2016,2015,2015-16,2014-15,2016,2015,2015-16,2014-15,2016,2015,2015-16,2014-15,,,,,,
AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,,,,,,,,,,
EASTERN,1779,1475,20.6,19616,16352,20.0,11752,10628,10.6,133873,127984,4.6,13531,12103,11.8,153489,144336,6.3
WESTERN,7653,6980,9.6,85813,80512,6.6,34449,29559,16.5,378839,333298,13.7,42102,36539,15.2,464652,413810,12.3
SOUTHERN,12664,11283,12.2,142744,131131,8.9,35713,28860,23.7,383145,345785,10.8,48377,40143,20.5,525889,476916,10.3
NORTHERN,8733,7416,17.8,93620,87016,7.6,31570,24138,30.8,343610,294107,16.8,40303,31554,27.7,437230,381123,14.7
NORTH EAST,54,16,237.5,482,441,9.3,4609,4099,12.4,51042,46375,10.1,4663,4115,13.3,51524,46816,10.1
TOTAL,30883,27170,13.7,342275,315452,8.5,118093,97284,21.4,1290509,1147549,12.5,148976,124454,19.7,1632784,1463001,11.6
PASSENGERS (IN NUMBER),,,,,,,,,,,,,,,,,,
EASTERN,206617,183668,12.5,2166801,1876687,15.5,1436868,1255234,14.5,15967216,13778049,15.9,1643485,1438902,14.2,18134017,15654736,15.8
WESTERN,1203175,1128223,6.6,12931640,12270437,5.4,4460459,3770077,18.3,46575135,38517671,20.9,5663634,4898300,15.6,59506775,50788108,17.2
SOUTHERN,1752923,1603457,9.3,20714444,18780249,10.3,4006618,3206597,24.9,41930600,34990242,19.8,5759541,4810054,19.7,62645044,53770491,16.5
NORTHERN,1333799,1231415,8.3,14083988,13426929,4.9,4318215,3279949,31.7,44091959,35544486,24.0,5652014,4511364,25.3,58175947,48971415,18.8
NORTH EAST,2605,952,173.6,30221,25785,17.2,454579,369559,23.0,4839476,4075661,18.7,457184,370511,23.4,4869697,4101446,18.7
TOTAL,4499119,4147715,8.5,49927094,46380087,7.6,14676739,11881416,23.5,153404386,126906109,20.9,19175858,16029131,19.6,203331480,173286196,17.3
FREIGHT (IN TONNES),,,,,,,,,,,,,,,,,,
EASTERN,3616,3613,0.1,44878,44107,1.7,9780,8329,17.4,108322,103750,4.4,13396,11942,12.2,153200,147857,3.6
WESTERN,43736,39986,9.4,471901,458123,3.0,24759,22490,10.1,279561,272689,2.5,68495,62476,9.6,751462,730812,2.8
SOUTHERN,47792,43701,9.4,533609,510157,4.6,22266,20431,9.0,250717,238878,5.0,70058,64132,9.2,784326,749035,4.7
NORTHERN,39456,33217,18.8,451564,390911,15.5,26027,23809,9.3,292906,268412,9.1,65483,57026,14.8,744470,659323,12.9
NORTH EAST,0,0,0.0,10,13,-23.1,2147,1767,21.5,24445,19813,23.4,2147,1767,21.5,24455,19826,23.3
TOTAL,134600,120517,11.7,1501962,1403311,7.0,84979,76826,10.6,955951,903542,5.8,219579,197343,11.3,2457913,2306853,6.5
REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,
"",FEBRUARY,APRIL -FEBRUARY,FEBRUARY,APRIL -FEBRUARY,FEBRUARY,APRIL -FEBRUARY,,,,,,
"",2016,2015,2015-16,2014-15,2016,2015,2015-16,2014-15,2016,2015,2015-16,2014-15
AIRCRAFT MOVEMENTS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,5.76,5.43,5.73,5.18,9.95,10.92,10.37,11.15,9.08,9.72,9.40,9.87
WESTERN,24.78,25.69,25.07,25.52,29.17,30.38,29.36,29.04,28.26,29.36,28.46,28.29
SOUTHERN,41.01,41.53,41.70,41.57,30.24,29.67,29.69,30.13,32.47,32.26,32.21,32.60
NORTHERN,28.28,27.29,27.35,27.58,26.73,24.81,26.63,25.63,27.05,25.35,26.78,26.05
NORTH EAST,0.17,0.06,0.14,0.14,3.90,4.21,3.96,4.04,3.13,3.31,3.16,3.20
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PASSENGERS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,4.59,4.43,4.34,4.05,9.79,10.56,10.41,10.86,8.57,8.98,8.92,9.03
WESTERN,26.74,27.20,25.90,26.46,30.39,31.73,30.36,30.35,29.54,30.56,29.27,29.31
SOUTHERN,38.96,38.66,41.49,40.49,27.30,26.99,27.33,27.57,30.04,30.01,30.81,31.03
NORTHERN,29.65,29.69,28.21,28.95,29.42,27.61,28.74,28.01,29.47,28.14,28.61,28.26
NORTH EAST,0.06,0.02,0.06,0.06,3.10,3.11,3.15,3.21,2.38,2.31,2.39,2.37
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
FREIGHT (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,2.69,3.00,2.99,3.14,11.51,10.84,11.33,11.48,6.10,6.05,6.23,6.41
WESTERN,32.49,33.18,31.42,32.65,29.14,29.27,29.24,30.18,31.19,31.66,30.57,31.68
SOUTHERN,35.51,36.26,35.53,36.35,26.20,26.59,26.23,26.44,31.91,32.50,31.91,32.47
NORTHERN,29.31,27.56,30.06,27.86,30.63,30.99,30.64,29.71,29.82,28.90,30.29,28.58
NORTH EAST,0.00,0.00,0.00,0.00,2.53,2.30,2.56,2.19,0.98,0.90,0.99,0.86
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
