REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,,,,,,,
"",February,% CHANGE,APR-February,% CHANGE,February,% CHANGE,APR-February,% CHANGE,February,% CHANGE,APR-February,% CHANGE,,,,,,
"",2018,2017,2017-18,2016-17,2018,2017,2017-18,2016-17,2018,2017,2017-18,2016-17,,,,,,
AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,,,,,,,,,,
EASTERN,1934,1768,9.4,22291,18256,22.1,19656,16130,21.9,207974,165229,25.9,21590,17898,20.6,230265,183485,25.5
WESTERN,8515,8088,5.3,98440,92666,6.2,39273,34635,13.4,444423,401392,10.7,47788,42723,11.9,542863,494058,9.9
SOUTHERN,14020,12511,12.1,164452,149605,9.9,49658,40128,23.7,516534,468909,10.2,63678,52639,21.0,680986,618514,10.1
NORTHERN,10054,9146,9.9,114168,104249,9.5,42618,35553,19.9,477038,406493,17.4,52672,44699,17.8,591206,510742,15.8
NORTH EAST,39,32,21.9,462,460,0.4,5668,5696,-0.5,65080,60428,7.7,5707,5728,-0.4,65542,60888,7.6
TOTAL,34562,31545,9.6,399813,365236,9.5,156873,132142,18.7,1711049,1502451,13.9,191435,163687,17.0,2110862,1867687,13.0
PASSENGERS (IN NUMBER),,,,,,,,,,,,,,,,,,
EASTERN,240054,216735,10.8,2578626,2173525,18.6,2742488,2043467,34.2,27776122,21019081,32.1,2982542,2260202,32.0,30354748,23192606,30.9
WESTERN,1388368,1285202,8.0,15255548,14083821,8.3,5549652,4773055,16.3,59356747,52943628,12.1,6938020,6058257,14.5,74612295,67027449,11.3
SOUTHERN,1998697,1803201,10.8,23987267,22141329,8.3,6136768,4675687,31.2,62421855,53151060,17.4,8135465,6478888,25.6,86409122,75292389,14.8
NORTHERN,1670893,1499578,11.4,17767023,15721595,13.0,5947589,4992514,19.1,63527250,54536716,16.5,7618482,6492092,17.4,81294273,70258311,15.7
NORTH EAST,1997,1616,23.6,29383,28755,2.2,667281,582072,14.6,7536359,6191502,21.7,669278,583688,14.7,7565742,6220257,21.6
TOTAL,5300009,4806332,10.3,59617847,54149025,10.1,21043778,17066795,23.3,220618333,187841987,17.4,26343787,21873127,20.4,280236180,241991012,15.8
FREIGHT (IN TONNES),,,,,,,,,,,,,,,,,,
EASTERN,4127,4429,-6.8,56226,50974,10.3,10178,10138,0.4,125365,117300,6.9,14305,14567,-1.8,181591,168274,7.9
WESTERN,55960,48064,16.4,624715,517071,20.8,30092,29569,1.8,343335,307454,11.7,86052,77633,10.8,968050,824525,17.4
SOUTHERN,58433,50937,14.7,664252,587712,13.0,25042,22938,9.2,289276,270078,7.1,83475,73875,13.0,953528,857790,11.2
NORTHERN,49160,45353,8.4,603420,507544,18.9,27236,25909,5.1,316563,301697,4.9,76396,71262,7.2,919983,809241,13.7
NORTH EAST,0,0,-,2,2,0.0,2383,2377,0.3,31661,27510,15.1,2383,2377,0.3,31663,27512,15.1
TOTAL,167680,148783,12.7,1948615,1663303,17.2,94931,90931,4.4,1106200,1024039,8.0,262611,239714,9.6,3054815,2687342,13.7
REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,
"",February,APR-February,February,APR-February,February,APR-February,,,,,,
"",2018,2017,2017-18,2016-17,2018,2017,2017-18,2016-17,2018,2017,2017-18,2016-17
AIRCRAFT MOVEMENTS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,5.60,5.60,5.58,5.00,12.53,12.21,12.15,11.00,11.28,10.93,10.91,9.82
WESTERN,24.64,25.64,24.62,25.37,25.03,26.21,25.97,26.72,24.96,26.10,25.72,26.45
SOUTHERN,40.56,39.66,41.13,40.96,31.65,30.37,30.19,31.21,33.26,32.16,32.26,33.12
NORTHERN,29.09,28.99,28.56,28.54,27.17,26.91,27.88,27.06,27.51,27.31,28.01,27.35
NORTH EAST,0.11,0.10,0.12,0.13,3.61,4.31,3.80,4.02,2.98,3.50,3.10,3.26
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PASSENGERS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,4.53,4.51,4.33,4.01,13.03,11.97,12.59,11.19,11.32,10.33,10.83,9.58
WESTERN,26.20,26.74,25.59,26.01,26.37,27.97,26.90,28.19,26.34,27.70,26.62,27.70
SOUTHERN,37.71,37.52,40.24,40.89,29.16,27.40,28.29,28.30,30.88,29.62,30.83,31.11
NORTHERN,31.53,31.20,29.80,29.03,28.26,29.25,28.80,29.03,28.92,29.68,29.01,29.03
NORTH EAST,0.04,0.03,0.05,0.05,3.17,3.41,3.42,3.30,2.54,2.67,2.70,2.57
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
FREIGHT (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,2.46,2.98,2.89,3.06,10.72,11.15,11.33,11.45,5.45,6.08,5.94,6.26
WESTERN,33.37,32.30,32.06,31.09,31.70,32.52,31.04,30.02,32.77,32.39,31.69,30.68
SOUTHERN,34.85,34.24,34.09,35.33,26.38,25.23,26.15,26.37,31.79,30.82,31.21,31.92
NORTHERN,29.32,30.48,30.97,30.51,28.69,28.49,28.62,29.46,29.09,29.73,30.12,30.11
NORTH EAST,0.00,0.00,0.00,0.00,2.51,2.61,2.86,2.69,0.91,0.99,1.04,1.02
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
