REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,,,,,,,
"",MARCH,% CHANGE,APR-MAR,% CHANGE,MARCH,% CHANGE,APR-MAR,% CHANGE,MARCH,% CHANGE,APR-MAR,% CHANGE,,,,,,
"",2018,2017,2017-18,2016-17,2018,2017,2017-18,2016-17,2018,2017,2017-18,2016-17,,,,,,
AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,,,,,,,,,,
EASTERN,2158,1942,11.1,24449,20198,21.0,22229,18196,22.2,230203,183425,25.5,24387,20138,21.1,254652,203623,25.1
WESTERN,9437,8975,5.1,107877,101641,6.1,42759,37899,12.8,487182,439291,10.9,52196,46874,11.4,595059,540932,10.0
SOUTHERN,15378,13915,10.5,179830,163520,10.0,56142,43057,30.4,572922,511966,11.9,71520,56972,25.5,752752,675486,11.4
NORTHERN,11098,10320,7.5,125266,114569,9.3,47596,40809,16.6,524634,447302,17.3,58694,51129,14.8,649900,561871,15.7
NORTH EAST,42,34,23.5,504,494,2.0,6604,6251,5.6,71684,66679,7.5,6646,6285,5.7,72188,67173,7.5
TOTAL,38113,35186,8.3,437926,400422,9.4,175330,146212,19.9,1886625,1648663,14.4,213443,181398,17.7,2324551,2049085,13.4
PASSENGERS (IN NUMBER),,,,,,,,,,,,,,,,,,
EASTERN,259169,229824,12.8,2837795,2403349,18.1,3044764,2220071,37.1,30820886,23239152,32.6,3303933,2449895,34.9,33658681,25642501,31.3
WESTERN,1467728,1320349,11.2,16723276,15404170,8.6,5797578,4877301,18.9,65154325,57820929,12.7,7265306,6197650,17.2,81877601,73225099,11.8
SOUTHERN,2295652,1962099,17.0,26282919,24103428,9.0,6578183,4746713,38.6,69010164,57897773,19.2,8873835,6708812,32.3,95293083,82001201,16.2
NORTHERN,1833054,1622130,13.0,19600077,17343725,13.0,6466509,5371961,20.4,69993759,59908677,16.8,8299563,6994091,18.7,89593836,77252402,16.0
NORTH EAST,2066,1564,32.1,31449,30319,3.7,762391,626699,21.7,8298750,6818201,21.7,764457,628263,21.7,8330199,6848520,21.6
TOTAL,5857669,5135966,14.1,65475516,59284991,10.4,22649425,17842745,26.9,243277884,205684732,18.3,28507094,22978711,24.1,308753400,264969723,16.5
FREIGHT (IN TONNES),,,,,,,,,,,,,,,,,,
EASTERN,4626,5984,-22.7,60852,56958,6.8,11332,11356,-0.2,136697,128656,6.3,15958,17340,-8.0,197549,185614,6.4
WESTERN,66932,62935,6.4,691647,580006,19.2,33780,31022,8.9,377115,338476,11.4,100712,93957,7.2,1068762,918482,16.4
SOUTHERN,68243,65216,4.6,732495,652928,12.2,29338,25444,15.3,318614,295522,7.8,97581,90660,7.6,1051109,948450,10.8
NORTHERN,55552,57622,-3.6,658972,565166,16.6,29550,28720,2.9,346113,330417,4.8,85102,86342,-1.4,1005085,895583,12.2
NORTH EAST,0,1,-,2,3,-,2860,2599,10.0,34521,30109,14.7,2860,2600,10.0,34523,30112,14.6
TOTAL,195353,191758,1.9,2143968,1855061,15.6,106860,99141,7.8,1213060,1123180,8.0,302213,290899,3.9,3357028,2978241,12.7
REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,
"",MARCH,APR-MAR,MARCH,APR-MAR,MARCH,APR-MAR,,,,,,
"",2018,2017,2017-18,2016-17,2018,2017,2017-18,2016-17,2018,2017,2017-18,2016-17
AIRCRAFT MOVEMENTS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,5.66,5.52,5.58,5.04,12.68,12.44,12.20,11.13,11.43,11.10,10.95,9.94
WESTERN,24.76,25.51,24.63,25.38,24.39,25.92,25.82,26.65,24.45,25.84,25.60,26.40
SOUTHERN,40.35,39.55,41.06,40.84,32.02,29.45,30.37,31.05,33.51,31.41,32.38,32.97
NORTHERN,29.12,29.33,28.60,28.61,27.15,27.91,27.81,27.13,27.50,28.19,27.96,27.42
NORTH EAST,0.11,0.10,0.12,0.12,3.77,4.28,3.80,4.04,3.11,3.46,3.11,3.28
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PASSENGERS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,4.42,4.47,4.33,4.05,13.44,12.44,12.67,11.30,11.59,10.66,10.90,9.68
WESTERN,25.06,25.71,25.54,25.98,25.60,27.33,26.78,28.11,25.49,26.97,26.52,27.64
SOUTHERN,39.19,38.20,40.14,40.66,29.04,26.60,28.37,28.15,31.13,29.20,30.86,30.95
NORTHERN,31.29,31.58,29.93,29.25,28.55,30.11,28.77,29.13,29.11,30.44,29.02,29.16
NORTH EAST,0.04,0.03,0.05,0.05,3.37,3.51,3.41,3.31,2.68,2.73,2.70,2.58
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
FREIGHT (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,2.37,3.12,2.84,3.07,10.60,11.45,11.27,11.45,5.28,5.96,5.88,6.23
WESTERN,34.26,32.82,32.26,31.27,31.61,31.29,31.09,30.14,33.32,32.30,31.84,30.84
SOUTHERN,34.93,34.01,34.17,35.20,27.45,25.66,26.27,26.31,32.29,31.17,31.31,31.85
NORTHERN,28.44,30.05,30.74,30.47,27.65,28.97,28.53,29.42,28.16,29.68,29.94,30.07
NORTH EAST,0.00,0.00,0.00,0.00,2.68,2.62,2.85,2.68,0.95,0.89,1.03,1.01
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
