REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,,,,,,,
"",AUG,% CHANGE,April to AUG,% CHANGE,AUG,% CHANGE,April to AUG,% CHANGE,AUG,% CHANGE,April to AUG,% CHANGE,,,,,,
"",2018,2017,2018-19,2017-18,2018,2017,2018-19,2017-18,2018,2017,2018-19,2017-18,,,,,,
AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,,,,,,,,,,
EASTERN,2007,2011,-0.2,10012,9667,3.6,22005,17767,23.9,109200,88382,23.6,24012,19778,21.4,119212,98049,21.6
WESTERN,9120,8973,1.6,45282,43660,3.7,44278,40518,9.3,217769,196206,11.0,53398,49491,7.9,263051,239866,9.7
SOUTHERN,15049,15332,-1.8,75742,73495,3.1,57189,44952,27.2,287954,221047,30.3,72238,60284,19.8,363696,294542,23.5
NORTHERN,11081,10491,5.6,54758,50717,8.0,48247,43584,10.7,235687,211944,11.2,59328,54075,9.7,290445,262661,10.6
NORTH EAST,62,38,63.2,230,207,11.1,7147,5798,23.3,34567,29925,15.5,7209,5836,23.5,34797,30132,15.5
TOTAL,37319,36845,1.3,186024,177746,4.7,178866,152619,17.2,885177,747504,18.4,216185,189464,14.1,1071201,925250,15.8
PASSENGERS (IN NUMBER),,,,,,,,,,,,,,,,,,
EASTERN,231600,223298,3.7,1170980,1085879,7.8,2811239,2315926,21.4,14795085,11540552,28.2,3042839,2539224,19.8,15966065,12626431,26.4
WESTERN,1385297,1303410,6.3,6940315,6596990,5.2,5821326,5239710,11.1,29203133,25784632,13.3,7206623,6543120,10.1,36143448,32381622,11.6
SOUTHERN,2317011,2300844,0.7,11633164,10979680,6.0,6674122,5360612,24.5,33904274,26512959,27.9,8991133,7661456,17.4,45537438,37492639,21.5
NORTHERN,1723373,1559819,10.5,8563257,7625220,12.3,6287994,5525610,13.8,31562086,27833927,13.4,8011367,7085429,13.1,40125343,35459147,13.2
NORTH EAST,2953,1729,70.8,14508,14283,1.6,750771,676096,11.0,3978738,3352887,18.7,753724,677825,11.2,3993246,3367170,18.6
TOTAL,5660234,5389100,5.0,28322224,26302052,7.7,22345452,19117954,16.9,113443316,95024957,19.4,28005686,24507054,14.3,141765540,121327009,16.8
FREIGHT (IN TONNES),,,,,,,,,,,,,,,,,,
EASTERN,5385,5500,-2.1,24903,26554,-6.2,12775,12789,-0.1,61930,58278,6.3,18160,18289,-0.7,86833,84832,2.4
WESTERN,61761,54722,12.9,308502,278017,11.0,35303,30374,16.2,176977,152227,16.3,97064,85096,14.1,485479,430244,12.8
SOUTHERN,66060,65233,1.3,321430,310932,3.4,29449,26890,9.5,145704,130895,11.3,95509,92123,3.7,467134,441827,5.7
NORTHERN,56650,55899,1.3,278617,277209,0.5,33895,29274,15.8,161463,141374,14.2,90545,85173,6.3,440080,418583,5.1
NORTH EAST,17,1,-,18,2,-,3421,3451,-0.9,14791,14483,2.1,3438,3452,-0.4,14809,14485,2.2
TOTAL,189873,181355,4.7,933470,892714,4.6,114843,102778,11.7,560865,497257,12.8,304716,284133,7.2,1494335,1389971,7.5
REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,
"",AUG,April to AUG,AUG,April to AUG,AUG,April to AUG,,,,,,
"",2018,2017,2018-19,2017-18,2018,2017,2018-19,2017-18,2018,2017,2018-19,2017-18
AIRCRAFT MOVEMENTS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,5.38,5.46,5.38,5.44,12.30,11.64,12.34,11.82,11.11,10.44,11.13,10.60
WESTERN,24.44,24.35,24.34,24.56,24.75,26.55,24.60,26.25,24.70,26.12,24.56,25.92
SOUTHERN,40.33,41.61,40.72,41.35,31.97,29.45,32.53,29.57,33.41,31.82,33.95,31.83
NORTHERN,29.69,28.47,29.44,28.53,26.97,28.56,26.63,28.35,27.44,28.54,27.11,28.39
NORTH EAST,0.17,0.10,0.12,0.12,4.00,3.80,3.91,4.00,3.33,3.08,3.25,3.26
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PASSENGERS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,4.09,4.14,4.13,4.13,12.58,12.11,13.04,12.14,10.87,10.36,11.26,10.41
WESTERN,24.47,24.19,24.50,25.08,26.05,27.41,25.74,27.13,25.73,26.70,25.50,26.69
SOUTHERN,40.93,42.69,41.07,41.74,29.87,28.04,29.89,27.90,32.10,31.26,32.12,30.90
NORTHERN,30.45,28.94,30.24,28.99,28.14,28.90,27.82,29.29,28.61,28.91,28.30,29.23
NORTH EAST,0.05,0.03,0.05,0.05,3.36,3.54,3.51,3.53,2.69,2.77,2.82,2.78
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
FREIGHT (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,2.84,3.03,2.67,2.97,11.12,12.44,11.04,11.72,5.96,6.44,5.81,6.10
WESTERN,32.53,30.17,33.05,31.14,30.74,29.55,31.55,30.61,31.85,29.95,32.49,30.95
SOUTHERN,34.79,35.97,34.43,34.83,25.64,26.16,25.98,26.32,31.34,32.42,31.26,31.79
NORTHERN,29.84,30.82,29.85,31.05,29.51,28.48,28.79,28.43,29.71,29.98,29.45,30.11
NORTH EAST,0.01,0.00,0.00,0.00,2.98,3.36,2.64,2.91,1.13,1.21,0.99,1.04
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
