REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,,,,,,,
"",MAY,% CHANGE,APR-MAY,% CHANGE,MAY,% CHANGE,APR-MAY,% CHANGE,MAY,% CHANGE,APR-MAY,% CHANGE,,,,,,
"",2018,2017,2018-19,2017-18,2018,2017,2018-19,2017-18,2018,2017,2018-19,2017-18,,,,,,
AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,,,,,,,,,,
EASTERN,2027,1928,5.1,4032,3798,6.2,22655,18201,24.5,43858,35718,22.8,24682,20129,22.6,47890,39516,21.2
WESTERN,9233,8835,4.5,18176,17388,4.5,44678,39601,12.8,86728,76536,13.3,53911,48436,11.3,104904,93924,11.7
SOUTHERN,15580,14654,6.3,30390,28819,5.5,59170,45399,30.3,114553,86580,32.3,74750,60053,24.5,144943,115399,25.6
NORTHERN,10958,10162,7.8,21607,19985,8.1,47401,42919,10.4,93769,83165,12.8,58359,53081,9.9,115376,103150,11.9
NORTH EAST,38,34,11.8,72,70,2.9,7100,6226,14.0,13849,12157,13.9,7138,6260,14.0,13921,12227,13.9
TOTAL,37836,35613,6.2,74277,70060,6.0,181004,152346,18.8,352757,294156,19.9,218840,187959,16.4,427034,364216,17.2
PASSENGERS (IN NUMBER),,,,,,,,,,,,,,,,,,
EASTERN,245244,230155,6.6,483304,437471,10.5,3151992,2510469,25.6,6119332,4740811,29.1,3397236,2740624,24.0,6602636,5178282,27.5
WESTERN,1469086,1447532,1.5,2848324,2723927,4.6,6011080,5486031,9.6,11814723,10345422,14.2,7480166,6933563,7.9,14663047,13069349,12.2
SOUTHERN,2443190,2292335,6.6,4764787,4428973,7.6,7003997,5524841,26.8,13692040,10514048,30.2,9447187,7817176,20.9,18456827,14943021,23.5
NORTHERN,1663856,1503840,10.6,3339217,2978734,12.1,6312817,5837736,8.1,12658521,11187913,13.1,7976673,7341576,8.7,15997738,14166647,12.9
NORTH EAST,2143,2099,2.1,4334,4204,3.1,803480,687856,16.8,1597662,1336276,19.6,805623,689955,16.8,1601996,1340480,19.5
TOTAL,5823519,5475961,6.3,11439966,10573309,8.2,23283366,20046933,16.1,45882278,38124470,20.3,29106885,25522894,14.0,57322244,48697779,17.7
FREIGHT (IN TONNES),,,,,,,,,,,,,,,,,,
EASTERN,4800,6027,-20.4,9351,10918,-14.4,13060,12405,5.3,24190,23041,5.0,17860,18432,-3.1,33541,33959,-1.2
WESTERN,64163,58532,9.6,125907,114377,10.1,35897,31332,14.6,67581,59789,13.0,100060,89864,11.3,193488,174166,11.1
SOUTHERN,65246,61435,6.2,126894,119947,5.8,29093,26144,11.3,55889,50260,11.2,94339,87579,7.7,182783,170207,7.4
NORTHERN,57350,58494,-2.0,112341,114147,-1.6,33215,29021,14.5,62011,55402,11.9,90565,87515,3.5,174352,169549,2.8
NORTH EAST,1,1,0.0,1,1,0.0,2788,2764,0.9,5783,6208,-6.8,2789,2765,0.9,5784,6209,-6.8
TOTAL,191560,184489,3.8,374494,359390,4.2,114053,101666,12.2,215454,194700,10.7,305613,286155,6.8,589948,554090,6.5
REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,
"",MAY,APRIL - MAY,MAY,APRIL - MAY,MAY,APRIL - MAY,,,,,,
"",2018,2017,2018-19,2018-19,2018,2017,2018-19,2018-19,2018,2017,2018-19,2018-19
AIRCRAFT MOVEMENTS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,5.36,5.41,5.43,5.42,12.52,11.95,12.43,12.14,11.28,10.71,11.21,10.85
WESTERN,24.40,24.81,24.47,24.82,24.68,25.99,24.59,26.02,24.63,25.77,24.57,25.79
SOUTHERN,41.18,41.15,40.91,41.13,32.69,29.80,32.47,29.43,34.16,31.95,33.94,31.68
NORTHERN,28.96,28.53,29.09,28.53,26.19,28.17,26.58,28.27,26.67,28.24,27.02,28.32
NORTH EAST,0.10,0.10,0.10,0.10,3.92,4.09,3.93,4.13,3.26,3.33,3.26,3.36
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PASSENGERS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,4.21,4.20,4.22,4.14,13.54,12.52,13.34,12.44,11.67,10.74,11.52,10.63
WESTERN,25.23,26.43,24.90,25.76,25.82,27.37,25.75,27.14,25.70,27.17,25.58,26.84
SOUTHERN,41.95,41.86,41.65,41.89,30.08,27.56,29.84,27.58,32.46,30.63,32.20,30.69
NORTHERN,28.57,27.46,29.19,28.17,27.11,29.12,27.59,29.35,27.40,28.76,27.91,29.09
NORTH EAST,0.04,0.04,0.04,0.04,3.45,3.43,3.48,3.51,2.77,2.70,2.79,2.75
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
FREIGHT (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,2.51,3.27,2.50,3.04,11.45,12.20,11.23,11.83,5.84,6.44,5.69,6.13
WESTERN,33.49,31.73,33.62,31.83,31.47,30.82,31.37,30.71,32.74,31.40,32.80,31.43
SOUTHERN,34.06,33.30,33.88,33.38,25.51,25.72,25.94,25.81,30.87,30.61,30.98,30.72
NORTHERN,29.94,31.71,30.00,31.76,29.12,28.55,28.78,28.46,29.63,30.58,29.55,30.60
NORTH EAST,0.00,0.00,0.00,0.00,2.44,2.72,2.68,3.19,0.91,0.97,0.98,1.12
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
