REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,,,,,,,
"",OCT,% CHANGE,April to October,% CHANGE,OCT,% CHANGE,April to October,% CHANGE,OCT,% CHANGE,April to October,% CHANGE,,,,,,
"",2018,2017,2018-19,2017-18,2018,2017,2018-19,2017-18,2018,2017,2018-19,2017-18,,,,,,
AIRCRAFT MOVEMENTS (IN NUMBERS),,,,,,,,,,,,,,,,,,
EASTERN,2147,2127,0.9,14204,13753,3.3,23232,20201,15.0,154315,126800,21.7,25379,22328,13.7,168519,140553,19.9
WESTERN,9082,9070,0.1,63359,61555,2.9,46295,41894,10.5,308617,277554,11.2,55377,50964,8.7,371976,339109,9.7
SOUTHERN,15147,15143,0.0,105734,103562,2.1,62817,48898,28.5,409615,315074,30.0,77964,64041,21.7,515349,418636,23.1
NORTHERN,11079,10402,6.5,76836,71536,7.4,49025,45658,7.4,331464,300511,10.3,60104,56060,7.2,408300,372047,9.7
NORTH EAST,79,37,113.5,381,310,22.9,7415,5987,23.9,48898,41635,17.4,7494,6024,24.4,49279,41945,17.5
TOTAL,37534,36779,2.1,260514,250716,3.9,188784,162638,16.1,1252909,1061574,18.0,226318,199417,13.5,1513423,1312290,15.3
PASSENGERS (IN NUMBER),,,,,,,,,,,,,,,,,,
EASTERN,255569,241052,6.0,1666965,1555475,7.2,3154963,2701130,16.8,20765771,16607730,25.0,3410532,2942182,15.9,22432736,18163205,23.5
WESTERN,1363043,1363971,-0.1,9705479,9179042,5.7,5842431,5474527,6.7,40823258,36285130,12.5,7205474,6838498,5.4,50528737,45464172,11.1
SOUTHERN,2146219,2045371,4.9,15885917,15129466,5.0,6973809,5715235,22.0,47584786,37585827,26.6,9120028,7760606,17.5,63470703,52715293,20.4
NORTHERN,1731770,1617572,7.1,11972071,10780871,11.0,6434615,5965689,7.9,44216089,39245051,12.7,8166385,7583261,7.7,56188160,50025922,12.3
NORTH EAST,3643,1761,106.9,21119,21917,-3.6,847585,698720,21.3,5567587,4720962,17.9,851228,700481,21.5,5588706,4742879,17.8
TOTAL,5500244,5269727,4.4,39251551,36666771,7.0,23253403,20555301,13.1,158957491,134444700,18.2,28753647,25825028,11.3,198209042,171111471,15.8
FREIGHT (IN TONNES),,,,,,,,,,,,,,,,,,
EASTERN,5502,5120,7.5,36188,36669,-1.3,10768,11104,-3.0,84708,82375,2.8,16270,16224,0.3,120896,119044,1.6
WESTERN,62042,56087,10.6,427963,390302,9.6,38404,32061,19.8,250465,219136,14.3,100446,88148,14.0,678428,609438,11.3
SOUTHERN,64929,59793,8.6,451089,431105,4.6,31364,27297,14.9,205880,186811,10.2,96293,87090,10.6,656969,617916,6.3
NORTHERN,60158,56523,6.4,398054,390801,1.9,44238,30332,45.8,240514,203116,18.4,104396,86855,20.2,638568,593917,7.5
NORTH EAST,0,0,-,18,2,-,3717,2950,26.0,21987,20779,5.8,3717,2950,26.0,22005,20781,5.9
TOTAL,192631,177523,8.5,1313312,1248879,5.2,128491,103744,23.9,803554,712217,12.8,321122,281267,14.2,2116866,1961096,7.9
REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,
"",OCT,April to October,OCT,April to October,OCT,April to October,,,,,,
"",2018,2017,2018-19,2017-18,2018,2017,2018-19,2017-18,2018,2017,2018-19,2017-18
AIRCRAFT MOVEMENTS (SHARE IN PERCENTAGE),,,,,,,,,,,,
EASTERN,5.72,5.78,5.45,5.49,12.31,12.42,12.32,11.94,11.21,11.20,11.13,10.71
WESTERN,24.20,24.66,24.32,24.55,24.52,25.76,24.63,26.15,24.47,25.56,24.58,25.84
SOUTHERN,40.36,41.17,40.59,41.31,33.27,30.07,32.69,29.68,34.45,32.11,34.05,31.90
NORTHERN,29.52,28.28,29.49,28.53,25.97,28.07,26.46,28.31,26.56,28.11,26.98,28.35
NORTH EAST,0.21,0.10,0.15,0.12,3.93,3.68,3.90,3.92,3.31,3.02,3.26,3.20
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PASSENGERS (SHARE IN PERCENTAGE),,,,,,,,,,,,
EASTERN,4.65,4.57,4.25,4.24,13.57,13.14,13.06,12.35,11.86,11.39,11.32,10.61
WESTERN,24.78,25.88,24.73,25.03,25.13,26.63,25.68,26.99,25.06,26.48,25.49,26.57
SOUTHERN,39.02,38.81,40.47,41.26,29.99,27.80,29.94,27.96,31.72,30.05,32.02,30.81
NORTHERN,31.49,30.70,30.50,29.40,27.67,29.02,27.82,29.19,28.40,29.36,28.35,29.24
NORTH EAST,0.07,0.03,0.05,0.06,3.64,3.40,3.50,3.51,2.96,2.71,2.82,2.77
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
FREIGHT (SHARE IN PERCENTAGE),,,,,,,,,,,,
EASTERN,2.86,2.88,2.76,2.94,8.38,10.70,10.54,11.57,5.07,5.77,5.71,6.07
WESTERN,32.21,31.59,32.59,31.25,29.89,30.90,31.17,30.77,31.28,31.34,32.05,31.08
SOUTHERN,33.71,33.68,34.35,34.52,24.41,26.31,25.62,26.23,29.99,30.96,31.03,31.51
NORTHERN,31.23,31.84,30.31,31.29,34.43,29.24,29.93,28.52,32.51,30.88,30.17,30.28
NORTH EAST,0.00,0.00,0.00,0.00,2.89,2.84,2.74,2.92,1.16,1.05,1.04,1.06
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
