REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,,,,,,,
"",DEC,% CHANGE,April to December,% CHANGE,DEC,% CHANGE,April to December,% CHANGE,DEC,% CHANGE,April to December,% CHANGE,,,,,,
"",2018,2017,2018-19,2017-18,2018,2017,2018-19,2017-18,2018,2017,2018-19,2017-18,,,,,,
AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,,,,,,,,,,
EASTERN,2466,2288,7.8,18900,18117,4.3,23234,20794,11.7,200576,167254,19.9,25700,23082,11.3,219476,185371,18.4
WESTERN,10234,9596,6.6,83047,80323,3.4,47084,43445,8.4,401484,361713,11.0,57318,53041,8.1,484531,442036,9.6
SOUTHERN,15896,15877,0.1,136799,134474,1.7,62412,50973,22.4,532088,412943,28.9,78308,66850,17.1,668887,547417,22.2
NORTHERN,11819,11040,7.1,99746,93048,7.2,48047,45645,5.3,425020,388962,9.3,59866,56685,5.6,524766,482010,8.9
NORTH EAST,39,37,5.4,489,389,25.7,7953,5949,33.7,64325,53365,20.5,7992,5986,33.5,64814,53754,20.6
TOTAL,40454,38838,4.2,338981,326351,3.9,188730,166806,13.1,1623493,1384237,17.3,229184,205644,11.4,1962474,1710588,14.7
PASSENGERS (IN NUMBER),,,,,,,,,,,,,,,,,,
EASTERN,297611,281810,5.6,2229515,2075497,7.4,3226235,2857379,12.9,27042507,22131147,22.2,3523846,3139189,12.3,29272022,24206644,20.9
WESTERN,1714935,1624248,5.6,13004895,12246273,6.2,6449453,5935165,8.7,53282288,47836966,11.4,8164388,7559413,8.0,66287183,60083239,10.3
SOUTHERN,2469185,2391036,3.3,20537476,19566082,5.0,7562892,6333472,19.4,61883499,49700392,24.5,10032077,8724508,15.0,82420975,69266474,19.0
NORTHERN,1951295,1810011,7.8,15715034,14280000,10.0,6659233,6258336,6.4,57026519,51363719,11.0,8610528,8068347,6.7,72741553,65643719,10.8
NORTH EAST,2108,2176,-3.1,26359,25849,2.0,929768,733210,26.8,7314525,6138623,19.2,931876,735386,26.7,7340884,6164472,19.1
TOTAL,6435134,6109281,5.3,51513279,48193701,6.9,24827581,22117562,12.3,206549338,177170847,16.6,31262715,28226843,10.8,258062617,225364548,14.5
FREIGHT (IN TONNES),,,,,,,,,,,,,,,,,,
EASTERN,5008,5161,-3.0,46452,47372,-1.9,10895,11312,-3.7,106793,104624,2.1,15903,16473,-3.5,153245,151996,0.8
WESTERN,60270,59748,0.9,550026,510438,7.8,36610,31870,14.9,322371,282873,14.0,96880,91618,5.7,872397,793311,10.0
SOUTHERN,60263,58884,2.3,569286,549516,3.6,25978,26960,-3.6,257733,239947,7.4,86241,85844,0.5,827019,789463,4.8
NORTHERN,53832,55455,-2.9,504226,501456,0.6,38322,29114,31.6,316278,261291,21.0,92154,84569,9.0,820504,762747,7.6
NORTH EAST,1,0,"#DIV/0!",20,2,900.0,3477,2942,18.2,28671,26795,7.0,3478,2942,18.2,28691,26797,7.1
TOTAL,179374,179248,0.1,1670010,1608784,3.8,115282,102198,12.8,1031846,915530,12.7,294656,281446,4.7,2701856,2524314,7.0
REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,
"",DEC,April to December,DEC,April to December,DEC,April to December,,,,,,
"",2018,2017,2018-19,2017-18,2018,2017,2018-19,2017-18,2018,2017,2018-19,2017-18
AIRCRAFT MOVEMENTS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,6.10,5.89,5.58,5.55,12.31,12.47,12.35,12.08,11.21,11.22,11.18,10.84
WESTERN,25.30,24.71,24.50,24.61,24.95,26.05,24.73,26.13,25.01,25.79,24.69,25.84
SOUTHERN,39.29,40.88,40.36,41.21,33.07,30.56,32.77,29.83,34.17,32.51,34.08,32.00
NORTHERN,29.22,28.43,29.43,28.51,25.46,27.36,26.18,28.10,26.12,27.56,26.74,28.18
NORTH EAST,0.10,0.10,0.14,0.12,4.21,3.57,3.96,3.86,3.49,2.91,3.30,3.14
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PASSENGERS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,4.62,4.61,4.33,4.31,12.99,12.92,13.09,12.49,11.27,11.12,11.34,10.74
WESTERN,26.65,26.59,25.25,25.41,25.98,26.83,25.80,27.00,26.12,26.78,25.69,26.66
SOUTHERN,38.37,39.14,39.87,40.60,30.46,28.64,29.96,28.05,32.09,30.91,31.94,30.74
NORTHERN,30.32,29.63,30.51,29.63,26.82,28.30,27.61,28.99,27.54,28.58,28.19,29.13
NORTH EAST,0.03,0.04,0.05,0.05,3.74,3.32,3.54,3.46,2.98,2.61,2.84,2.74
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
FREIGHT (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,2.79,2.88,2.78,2.94,9.45,11.07,10.35,11.43,5.40,5.85,5.67,6.02
WESTERN,33.60,33.33,32.94,31.73,31.76,31.18,31.24,30.90,32.88,32.55,32.29,31.43
SOUTHERN,33.60,32.85,34.09,34.16,22.53,26.38,24.98,26.21,29.27,30.50,30.61,31.27
NORTHERN,30.01,30.94,30.19,31.17,33.24,28.49,30.65,28.54,31.28,30.05,30.37,30.22
NORTH EAST,0.00,0.00,0.00,0.00,3.02,2.88,2.78,2.93,1.18,1.05,1.06,1.06
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
