REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,,,,,,,
"",JANUARY,% CHANGE,APR-JANUARY,% CHANGE,JANUARY,% CHANGE,APR-JANUARY,% CHANGE,JANUARY,% CHANGE,APR-JANUARY,% CHANGE,,,,,,
"",2018,2017,2017-18,2016-17,2018,2017,2017-18,2016-17,2018,2017,2017-18,2016-17,,,,,,
AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,,,,,,,,,,
EASTERN,2240,1960,14.3,20357,16488,23.5,21064,17265,22.0,188318,149099,26.3,23304,19225,21.2,208675,165587,26.0
WESTERN,9602,9051,6.1,89925,84578,6.3,43437,38843,11.8,405150,366757,10.5,53039,47894,10.7,495075,451335,9.7
SOUTHERN,15958,14220,12.2,150432,137094,9.7,54117,45139,19.9,466876,428781,8.9,70075,59359,18.1,617308,565875,9.1
NORTHERN,11066,9996,10.7,104114,95103,9.5,45458,36732,23.8,434420,370940,17.1,56524,46728,21.0,538534,466043,15.6
NORTH EAST,34,36,-5.6,423,428,-1.2,6047,6155,-1.8,59412,54732,8.6,6081,6191,-1.8,59835,55160,8.5
TOTAL,38900,35263,10.3,365251,333691,9.5,170123,144134,18.0,1554176,1370309,13.4,209023,179397,16.5,1919427,1704000,12.6
PASSENGERS (IN NUMBER),,,,,,,,,,,,,,,,,,
EASTERN,263075,238536,10.3,2338572,1956790,19.5,2902487,2292266,26.6,25033634,18975614,31.9,3165562,2530802,25.1,27372206,20932404,30.8
WESTERN,1620907,1504531,7.7,13867180,12798619,8.3,5970129,5344014,11.7,53807095,48170573,11.7,7591036,6848545,10.8,67674275,60969192,11.0
SOUTHERN,2422488,2202783,10.0,21988570,20338128,8.1,6591930,5419801,21.6,56285087,48475373,16.1,9014418,7622584,18.3,78273657,68813501,13.7
NORTHERN,1816130,1627827,11.6,16096130,14222017,13.2,6215942,5227611,18.9,57579661,49544202,16.2,8032072,6855438,17.2,73675791,63766219,15.5
NORTH EAST,1537,1851,-17.0,27386,27139,0.9,730455,672216,8.7,6869078,5609430,22.5,731992,674067,8.6,6896464,5636569,22.4
TOTAL,6124137,5575528,9.8,54317838,49342693,10.1,22410943,18955908,18.2,199574555,170775192,16.9,28535080,24531436,16.3,253892393,220117885,15.3
FREIGHT (IN TONNES),,,,,,,,,,,,,,,,,,
EASTERN,4727,4644,1.8,52099,46545,11.9,10563,10422,1.4,115187,107162,7.5,15290,15066,1.5,167286,153707,8.8
WESTERN,58317,49721,17.3,568755,469007,21.3,30370,30062,1.0,313243,277885,12.7,88687,79783,11.2,881998,746892,18.1
SOUTHERN,56303,49886,12.9,605819,536775,12.9,24287,23200,4.7,264234,247140,6.9,80590,73086,10.3,870053,783915,11.0
NORTHERN,52804,46898,12.6,554260,462191,19.9,28036,26752,4.8,289327,275788,4.9,80840,73650,9.8,843587,737979,14.3
NORTH EAST,0,0,"#DIV/0!",2,2,0.0,2483,2671,-7.0,29278,25133,16.5,2483,2671,-7.0,29280,25135,16.5
TOTAL,172151,151149,13.9,1780935,1514520,17.6,95739,93107,2.8,1011269,933108,8.4,267890,244256,9.7,2792204,2447628,14.1
REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,
"",JANUARY,APR-JANUARY,JANUARY,APR-JANUARY,JANUARY,APR-JANUARY,,,,,,
"",2018,2017,2017-18,2016-17,2018,2017,2017-18,2016-17,2018,2017,2017-18,2016-17
AIRCRAFT MOVEMENTS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,5.76,5.56,5.57,4.94,12.38,11.98,12.12,10.88,11.15,10.72,10.87,9.72
WESTERN,24.68,25.67,24.62,25.35,25.53,26.95,26.07,26.76,25.37,26.70,25.79,26.49
SOUTHERN,41.02,40.33,41.19,41.08,31.81,31.32,30.04,31.29,33.53,33.09,32.16,33.21
NORTHERN,28.45,28.35,28.50,28.50,26.72,25.48,27.95,27.07,27.04,26.05,28.06,27.35
NORTH EAST,0.09,0.10,0.12,0.13,3.55,4.27,3.82,3.99,2.91,3.45,3.12,3.24
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PASSENGERS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,4.30,4.28,4.31,3.97,12.95,12.09,12.54,11.11,11.09,10.32,10.78,9.51
WESTERN,26.47,26.98,25.53,25.94,26.64,28.19,26.96,28.21,26.60,27.92,26.65,27.70
SOUTHERN,39.56,39.51,40.48,41.22,29.41,28.59,28.20,28.39,31.59,31.07,30.83,31.26
NORTHERN,29.66,29.20,29.63,28.82,27.74,27.58,28.85,29.01,28.15,27.95,29.02,28.97
NORTH EAST,0.03,0.03,0.05,0.06,3.26,3.55,3.44,3.28,2.57,2.75,2.72,2.56
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
FREIGHT (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,2.75,3.07,2.93,3.07,11.03,11.19,11.39,11.48,5.71,6.17,5.99,6.28
WESTERN,33.88,32.90,31.94,30.97,31.72,32.29,30.98,29.78,33.11,32.66,31.59,30.51
SOUTHERN,32.71,33.00,34.02,35.44,25.37,24.92,26.13,26.49,30.08,29.92,31.16,32.03
NORTHERN,30.67,31.03,31.12,30.52,29.28,28.73,28.61,29.56,30.18,30.15,30.21,30.15
NORTH EAST,0.00,0.00,0.00,0.00,2.59,2.87,2.90,2.69,0.93,1.09,1.05,1.03
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
