REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,,,,,,,
"",NOV,% CHANGE,April to November,% CHANGE,NOV,% CHANGE,April to November,% CHANGE,NOV,% CHANGE,April to November,% CHANGE,,,,,,
"",2018,2017,2018-19,2017-18,2018,2017,2018-19,2017-18,2018,2017,2018-19,2017-18,,,,,,
AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,,,,,,,,,,
EASTERN,2230,2076,7.4,16434,15829,3.8,22933,19660,16.6,177248,146460,21.0,25163,21736,15.8,193682,162289,19.3
WESTERN,9454,9172,3.1,72813,70727,2.9,45783,40714,12.5,354400,318268,11.4,55237,49886,10.7,427213,388995,9.8
SOUTHERN,15169,15035,0.9,120903,118597,1.9,60061,46896,28.1,469676,361970,29.8,75230,61931,21.5,590579,480567,22.9
NORTHERN,11091,10472,5.9,87927,82008,7.2,45451,42806,6.2,376973,343317,9.8,56542,53278,6.1,464900,425325,9.3
NORTH EAST,69,42,64.3,450,352,27.8,7568,5781,30.9,56466,47416,19.1,7637,5823,31.2,56916,47768,19.2
TOTAL,38013,36797,3.3,298527,287513,3.8,181796,155857,16.6,1434763,1217431,17.9,219809,192654,14.1,1733290,1504944,15.2
PASSENGERS (IN NUMBER),,,,,,,,,,,,,,,,,,
EASTERN,264939,238212,11.2,1931904,1793687,7.7,3044600,2666038,14.2,23810371,19273768,23.5,3309539,2904250,14.0,25742275,21067455,22.2
WESTERN,1584481,1442983,9.8,11289960,10622025,6.3,6009577,5616671,7.0,46832835,41901801,11.8,7594058,7059654,7.6,58122795,52523826,10.7
SOUTHERN,2182374,2045580,6.7,18068291,17175046,5.2,6735821,5781093,16.5,54320607,43366920,25.3,8918195,7826673,13.9,72388898,60541966,19.6
NORTHERN,1791668,1689118,6.1,13763739,12469989,10.4,6147440,5860332,4.9,50367286,45105383,11.7,7939108,7549450,5.2,64131025,57575372,11.4
NORTH EAST,3132,1756,78.4,24251,23673,2.4,823071,684451,20.3,6390658,5405413,18.2,826203,686207,20.4,6414909,5429086,18.2
TOTAL,5826594,5417649,7.5,45078145,42084420,7.1,22760509,20608585,10.4,181721757,155053285,17.2,28587103,26026234,9.8,226799902,197137705,15.0
FREIGHT (IN TONNES),,,,,,,,,,,,,,,,,,
EASTERN,5256,5542,-5.2,41444,42211,-1.8,11190,10937,2.3,95898,93312,2.8,16446,16479,-0.2,137342,135523,1.3
WESTERN,61793,60388,2.3,489756,450690,8.7,35296,31867,10.8,285761,251003,13.8,97089,92255,5.2,775517,701693,10.5
SOUTHERN,57934,59527,-2.7,509023,490632,3.7,25875,26176,-1.1,231755,212987,8.8,83809,85703,-2.2,740778,703619,5.3
NORTHERN,52340,55200,-5.2,450394,446001,1.0,37442,29061,28.8,277956,232177,19.7,89782,84261,6.6,728350,678178,7.4
NORTH EAST,1,0,"#DIV/0!",19,2,850.0,3207,3074,4.3,25194,23853,5.6,3208,3074,4.4,25213,23855,5.7
TOTAL,177324,180657,-1.8,1490636,1429536,4.3,113010,101115,11.8,916564,813332,12.7,290334,281772,3.0,2407200,2242868,7.3
REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,
"",NOV,April to November,NOV,April to November,NOV,April to November,,,,,,
"",2018,2017,2018-19,2017-18,2018,2017,2018-19,2017-18,2018,2017,2018-19,2017-18
AIRCRAFT MOVEMENTS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,5.87,5.64,5.51,5.51,12.61,12.61,12.35,12.03,11.45,11.28,11.17,10.78
WESTERN,24.87,24.93,24.39,24.60,25.18,26.12,24.70,26.14,25.13,25.89,24.65,25.85
SOUTHERN,39.90,40.86,40.50,41.25,33.04,30.09,32.74,29.73,34.23,32.15,34.07,31.93
NORTHERN,29.18,28.46,29.45,28.52,25.00,27.46,26.27,28.20,25.72,27.65,26.82,28.26
NORTH EAST,0.18,0.11,0.15,0.12,4.16,3.71,3.94,3.89,3.47,3.02,3.28,3.17
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PASSENGERS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,4.55,4.40,4.29,4.26,13.38,12.94,13.10,12.43,11.58,11.16,11.35,10.69
WESTERN,27.19,26.63,25.05,25.24,26.40,27.25,25.77,27.02,26.56,27.13,25.63,26.64
SOUTHERN,37.46,37.76,40.08,40.81,29.59,28.05,29.89,27.97,31.20,30.07,31.92,30.71
NORTHERN,30.75,31.18,30.53,29.63,27.01,28.44,27.72,29.09,27.77,29.01,28.28,29.21
NORTH EAST,0.05,0.03,0.05,0.06,3.62,3.32,3.52,3.49,2.89,2.64,2.83,2.75
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
FREIGHT (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,2.96,3.07,2.78,2.95,9.90,10.82,10.46,11.47,5.66,5.85,5.71,6.04
WESTERN,34.85,33.43,32.86,31.53,31.23,31.52,31.18,30.86,33.44,32.74,32.22,31.29
SOUTHERN,32.67,32.95,34.15,34.32,22.90,25.89,25.29,26.19,28.87,30.42,30.77,31.37
NORTHERN,29.52,30.56,30.21,31.20,33.13,28.74,30.33,28.55,30.92,29.90,30.26,30.24
NORTH EAST,0.00,0.00,0.00,0.00,2.84,3.04,2.75,2.93,1.10,1.09,1.05,1.06
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
