REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,,,,,,,
"",JUN,% CHANGE,April to JUN,% CHANGE,JUN,% CHANGE,April to JUN,% CHANGE,JUN,% CHANGE,April to JUN,% CHANGE,,,,,,
"",2018,2017,2018-19,2017-18,2018,2017,2018-19,2017-18,2018,2017,2018-19,2017-18,,,,,,
AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,,,,,,,,,,
EASTERN,1952,1919,1.7,5984,5717,4.7,21692,17374,24.9,65550,53092,23.5,23644,19293,22.6,71534,58809,21.6
WESTERN,8916,8554,4.2,27092,25942,4.4,43144,38765,11.3,129872,115301,12.6,52060,47319,10.0,156964,141243,11.1
SOUTHERN,14956,14345,4.3,45346,43164,5.1,58092,44120,31.7,172645,130700,32.1,73048,58465,24.9,217991,173864,25.4
NORTHERN,10642,9887,7.6,32249,29872,8.0,46545,42145,10.4,140314,125310,12.0,57187,52032,9.9,172563,155182,11.2
NORTH EAST,36,33,9.1,108,103,4.9,6796,6000,13.3,20645,18157,13.7,6832,6033,13.2,20753,18260,13.7
TOTAL,36502,34738,5.1,110779,104798,5.7,176269,148404,18.8,529026,442560,19.5,212771,183142,16.2,639805,547358,16.9
PASSENGERS (IN NUMBER),,,,,,,,,,,,,,,,,,
EASTERN,221908,210943,5.2,705212,648414,8.8,2979292,2306612,29.2,9098624,7047423,29.1,3201200,2517555,27.2,9803836,7695837,27.4
WESTERN,1337333,1265817,5.6,4185657,3989744,4.9,5707147,5100312,11.9,17521870,15445734,13.4,7044480,6366129,10.7,21707527,19435478,11.7
SOUTHERN,2181778,2019199,8.1,6946565,6448172,7.7,6576592,5263081,25.0,20268632,15777129,28.5,8758370,7282280,20.3,27215197,22225301,22.5
NORTHERN,1741354,1531138,13.7,5080571,4509872,12.7,6225665,5598742,11.2,18884186,16786655,12.5,7967019,7129880,11.7,23964757,21296527,12.5
NORTH EAST,2191,1786,22.7,6525,5990,8.9,790060,650424,21.5,2387722,1986700,20.2,792251,652210,21.5,2394247,1992690,20.2
TOTAL,5484564,5028883,9.1,16924530,15602192,8.5,22278756,18919171,17.8,68161034,57043641,19.5,27763320,23948054,15.9,85085564,72645833,17.1
FREIGHT (IN TONNES),,,,,,,,,,,,,,,,,,
EASTERN,4601,5061,-9.1,13952,15979,-12.7,12227,11365,7.6,36417,34406,5.8,16828,16426,2.4,50369,50385,0.0
WESTERN,61894,56258,10.0,187801,170635,10.1,36954,30870,19.7,104535,90659,15.3,98848,87128,13.5,292336,261294,11.9
SOUTHERN,62359,62082,0.4,189253,182029,4.0,29273,26461,10.6,85162,76721,11.0,91632,88543,3.5,274415,258750,6.1
NORTHERN,54576,55367,-1.4,166917,169514,-1.5,32448,28051,15.7,94459,83453,13.2,87024,83418,4.3,261376,252967,3.3
NORTH EAST,0,0,-,1,1,0.0,2646,2466,7.3,8429,8674,-2.8,2646,2466,7.3,8430,8675,-2.8
TOTAL,183430,178768,2.6,557924,538158,3.7,113548,99213,14.4,329002,293913,11.9,296978,277981,6.8,886926,832071,6.6
REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,
"",JUN,April to JUN,JUN,April to JUN,JUN,April to JUN,,,,,,
"",2018,2017,2018-19,2017-18,2018,2017,2018-19,2017-18,2018,2017,2018-19,2017-18
AIRCRAFT MOVEMENTS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,5.35,5.52,5.40,5.46,12.31,11.71,12.39,12.00,11.11,10.53,11.18,10.74
WESTERN,24.43,24.62,24.46,24.75,24.48,26.12,24.55,26.05,24.47,25.84,24.53,25.80
SOUTHERN,40.97,41.29,40.93,41.19,32.96,29.73,32.63,29.53,34.33,31.92,34.07,31.76
NORTHERN,29.15,28.46,29.11,28.50,26.41,28.40,26.52,28.31,26.88,28.41,26.97,28.35
NORTH EAST,0.10,0.09,0.10,0.10,3.86,4.04,3.90,4.10,3.21,3.29,3.24,3.34
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PASSENGERS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,4.05,4.19,4.17,4.16,13.37,12.19,13.35,12.35,11.53,10.51,11.52,10.59
WESTERN,24.38,25.17,24.73,25.57,25.62,26.96,25.71,27.08,25.37,26.58,25.51,26.75
SOUTHERN,39.78,40.15,41.04,41.33,29.52,27.82,29.74,27.66,31.55,30.41,31.99,30.59
NORTHERN,31.75,30.45,30.02,28.91,27.94,29.59,27.71,29.43,28.70,29.77,28.17,29.32
NORTH EAST,0.04,0.04,0.04,0.04,3.55,3.44,3.50,3.48,2.85,2.72,2.81,2.74
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
FREIGHT (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,2.51,2.83,2.50,2.97,10.77,11.46,11.07,11.71,5.67,5.91,5.68,6.06
WESTERN,33.74,31.47,33.66,31.71,32.54,31.11,31.77,30.85,33.28,31.34,32.96,31.40
SOUTHERN,34.00,34.73,33.92,33.82,25.78,26.67,25.88,26.10,30.85,31.85,30.94,31.10
NORTHERN,29.75,30.97,29.92,31.50,28.58,28.27,28.71,28.39,29.30,30.01,29.47,30.40
NORTH EAST,0.00,0.00,0.00,0.00,2.33,2.49,2.56,2.95,0.89,0.89,0.95,1.04
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
