REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,,,,,,,
"",SEP,% CHANGE,April to September,% CHANGE,SEP,% CHANGE,April to September,% CHANGE,SEP,% CHANGE,April to September,% CHANGE,,,,,,
"",2018,2017,2018-19,2017-18,2018,2017,2018-19,2017-18,2018,2017,2018-19,2017-18,,,,,,
AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,,,,,,,,,,
EASTERN,2045,1959,4.4,12057,11626,3.7,21883,18217,20.1,131083,106599,23.0,23928,20176,18.6,143140,118225,21.1
WESTERN,8995,8825,1.9,54277,52485,3.4,44553,39454,12.9,262322,235660,11.3,53548,48279,10.9,316599,288145,9.9
SOUTHERN,14845,14924,-0.5,90587,88419,2.5,58844,45129,30.4,346798,266176,30.3,73689,60053,22.7,437385,354595,23.3
NORTHERN,11000,10417,5.6,65757,61134,7.6,46744,42909,8.9,282439,254853,10.8,57744,53326,8.3,348196,315987,10.2
NORTH EAST,72,66,9.1,302,273,10.6,6916,5723,20.8,41483,35648,16.4,6988,5789,20.7,41785,35921,16.3
TOTAL,36957,36191,2.1,222980,213937,4.2,178940,151432,18.2,1064125,898936,18.4,215897,187623,15.1,1287105,1112873,15.7
PASSENGERS (IN NUMBER),,,,,,,,,,,,,,,,,,
EASTERN,240416,228544,5.2,1411396,1314423,7.4,2815723,2366048,19.0,17610808,13906600,26.6,3056139,2594592,17.8,19022204,15221023,25.0
WESTERN,1402121,1218081,15.1,8342436,7815071,6.7,5777694,5025971,15.0,34980827,30810603,13.5,7179815,6244052,15.0,43323263,38625674,12.2
SOUTHERN,2101469,2104415,-0.1,13734633,13084095,5.0,6706703,5357633,25.2,40610977,31870592,27.4,8808172,7462048,18.0,54345610,44954687,20.9
NORTHERN,1677044,1538079,9.0,10240301,9163299,11.8,6220315,5445435,14.2,37781474,33279362,13.5,7897359,6983514,13.1,48021775,42442661,13.1
NORTH EAST,2968,5873,-49.5,17476,20156,-13.3,741264,669355,10.7,4720002,4022242,17.3,744232,675228,10.2,4737478,4042398,17.2
TOTAL,5424018,5094992,6.5,33746242,31397044,7.5,22261699,18864442,18.0,135704088,113889399,19.2,27685717,23959434,15.6,169450330,145286443,16.6
FREIGHT (IN TONNES),,,,,,,,,,,,,,,,,,
EASTERN,5783,4995,15.8,30686,31549,-2.7,12010,12993,-7.6,73940,71271,3.7,17793,17988,-1.1,104626,102820,1.8
WESTERN,57419,56198,2.2,365921,334215,9.5,35331,34848,1.4,212061,187075,13.4,92750,91046,1.9,577982,521290,10.9
SOUTHERN,64730,60380,7.2,386160,371312,4.0,28812,28619,0.7,174516,159514,9.4,93542,88999,5.1,560676,530826,5.6
NORTHERN,59279,57069,3.9,337896,334278,1.1,34813,31410,10.8,196276,172784,13.6,94092,88479,6.3,534172,507062,5.3
NORTH EAST,0,0,-,18,2,800.0,3479,3346,4.0,18270,17829,2.5,3479,3346,4.0,18288,17831,2.6
TOTAL,187211,178642,4.8,1120681,1071356,4.6,114445,111216,2.9,675063,608473,10.9,301656,289858,4.1,1795744,1679829,6.9
REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,
"",SEP,April to September,SEP,April to September,SEP,April to September,,,,,,
"",2018,2017,2018-19,2017-18,2018,2017,2018-19,2017-18,2018,2017,2018-19,2017-18
AIRCRAFT MOVEMENTS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,5.53,5.41,5.41,5.43,12.23,12.03,12.32,11.86,11.08,10.75,11.12,10.62
WESTERN,24.34,24.38,24.34,24.53,24.90,26.05,24.65,26.22,24.80,25.73,24.60,25.89
SOUTHERN,40.17,41.24,40.63,41.33,32.88,29.80,32.59,29.61,34.13,32.01,33.98,31.86
NORTHERN,29.76,28.78,29.49,28.58,26.12,28.34,26.54,28.35,26.75,28.42,27.05,28.39
NORTH EAST,0.19,0.18,0.14,0.13,3.86,3.78,3.90,3.97,3.24,3.09,3.25,3.23
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PASSENGERS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,4.43,4.49,4.18,4.19,12.65,12.54,12.98,12.21,11.04,10.83,11.23,10.48
WESTERN,25.85,23.91,24.72,24.89,25.95,26.64,25.78,27.05,25.93,26.06,25.57,26.59
SOUTHERN,38.74,41.30,40.70,41.67,30.13,28.40,29.93,27.98,31.81,31.14,32.07,30.94
NORTHERN,30.92,30.19,30.35,29.19,27.94,28.87,27.84,29.22,28.53,29.15,28.34,29.21
NORTH EAST,0.05,0.12,0.05,0.06,3.33,3.55,3.48,3.53,2.69,2.82,2.80,2.78
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
FREIGHT (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,3.09,2.80,2.74,2.94,10.49,11.68,10.95,11.71,5.90,6.21,5.83,6.12
WESTERN,30.67,31.46,32.65,31.20,30.87,31.33,31.41,30.74,30.75,31.41,32.19,31.03
SOUTHERN,34.58,33.80,34.46,34.66,25.18,25.73,25.85,26.22,31.01,30.70,31.22,31.60
NORTHERN,31.66,31.95,30.15,31.20,30.42,28.24,29.08,28.40,31.19,30.52,29.75,30.19
NORTH EAST,0.00,0.00,0.00,0.00,3.04,3.01,2.71,2.93,1.15,1.15,1.02,1.06
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
