REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,,,,,,,
"",JUL,% CHANGE,April to JUL,% CHANGE,JUL,% CHANGE,April to JUL,% CHANGE,JUL,% CHANGE,April to JUL,% CHANGE,,,,,,
"",2018,2017,2018-19,2017-18,2018,2017,2018-19,2017-18,2018,2017,2018-19,2017-18,,,,,,
AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,,,,,,,,,,
EASTERN,2021,1939,4.2,8005,7656,4.6,21645,17523,23.5,87195,70615,23.5,23666,19462,21.6,95200,78271,21.6
WESTERN,9070,8745,3.7,36162,34687,4.3,43619,40387,8.0,173491,155688,11.4,52689,49132,7.2,209653,190375,10.1
SOUTHERN,15347,14999,2.3,60693,58163,4.3,58120,45395,28.0,230765,176095,31.0,73467,60394,21.6,291458,234258,24.4
NORTHERN,11428,10354,10.4,43677,40226,8.6,47126,43050,9.5,187440,168360,11.3,58554,53404,9.6,231117,208586,10.8
NORTH EAST,60,66,-9.1,168,169,-0.6,6775,5970,13.5,27420,24127,13.6,6835,6036,13.2,27588,24296,13.5
TOTAL,37926,36103,5.0,148705,140901,5.5,177285,152325,16.4,706311,594885,18.7,215211,188428,14.2,855016,735786,16.2
PASSENGERS (IN NUMBER),,,,,,,,,,,,,,,,,,
EASTERN,234168,214167,9.3,939380,862581,8.9,2885222,2177203,32.5,11983846,9224626,29.9,3119390,2391370,30.4,12923226,10087207,28.1
WESTERN,1369361,1303836,5.0,5555018,5293580,4.9,5859937,5099188,14.9,23381807,20544922,13.8,7229298,6403024,12.9,28936825,25838502,12.0
SOUTHERN,2369588,2230664,6.2,9316153,8678836,7.3,6961520,5375218,29.5,27230152,21152347,28.7,9331108,7605882,22.7,36546305,29831183,22.5
NORTHERN,1759313,1555529,13.1,6839884,6065401,12.8,6389906,5521662,15.7,25274092,22308317,13.3,8149219,7077191,15.1,32113976,28373718,13.2
NORTH EAST,5030,6564,-23.4,11555,12554,-8.0,840245,690091,21.8,3227967,2676791,20.6,845275,696655,21.3,3239522,2689345,20.5
TOTAL,5737460,5310760,8.0,22661990,20912952,8.4,22936830,18863362,21.6,91097864,75907003,20.0,28674290,24174122,18.6,113759854,96819955,17.5
FREIGHT (IN TONNES),,,,,,,,,,,,,,,,,,
EASTERN,5566,5075,9.7,19518,21054,-7.3,12738,11083,14.9,49155,45489,8.1,18304,16158,13.3,68673,66543,3.2
WESTERN,58940,52660,11.9,246741,223295,10.5,37139,31194,19.1,141674,121853,16.3,96079,83854,14.6,388415,345148,12.5
SOUTHERN,66117,63670,3.8,255370,245699,3.9,31093,27284,14.0,116255,104005,11.8,97210,90954,6.9,371625,349704,6.3
NORTHERN,55050,51796,6.3,221967,221310,0.3,33109,28647,15.6,127568,112100,13.8,88159,80443,9.6,349535,333410,4.8
NORTH EAST,0,0,-,1,1,0.0,2941,2358,24.7,11370,11032,3.1,2941,2358,24.7,11371,11033,3.1
TOTAL,185673,173201,7.2,743597,711359,4.5,117020,100566,16.4,446022,394479,13.1,302693,273767,10.6,1189619,1105838,7.6
REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,
"",JUL,April to JUL,JUL,April to JUL,JUL,April to JUL,,,,,,
"",2018,2017,2018-19,2017-18,2018,2017,2018-19,2017-18,2018,2017,2018-19,2017-18
AIRCRAFT MOVEMENTS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,5.33,5.37,5.38,5.43,12.21,11.50,12.35,11.87,11.00,10.33,11.13,10.64
WESTERN,23.91,24.22,24.32,24.62,24.60,26.51,24.56,26.17,24.48,26.07,24.52,25.87
SOUTHERN,40.47,41.55,40.81,41.28,32.78,29.80,32.67,29.60,34.14,32.05,34.09,31.84
NORTHERN,30.13,28.68,29.37,28.55,26.58,28.26,26.54,28.30,27.21,28.34,27.03,28.35
NORTH EAST,0.16,0.18,0.11,0.12,3.82,3.92,3.88,4.06,3.18,3.20,3.23,3.30
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PASSENGERS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,4.08,4.03,4.15,4.12,12.58,11.54,13.15,12.15,10.88,9.89,11.36,10.42
WESTERN,23.87,24.55,24.51,25.31,25.55,27.03,25.67,27.07,25.21,26.49,25.44,26.69
SOUTHERN,41.30,42.00,41.11,41.50,30.35,28.50,29.89,27.87,32.54,31.46,32.13,30.81
NORTHERN,30.66,29.29,30.18,29.00,27.86,29.27,27.74,29.39,28.42,29.28,28.23,29.31
NORTH EAST,0.09,0.12,0.05,0.06,3.66,3.66,3.54,3.53,2.95,2.88,2.85,2.78
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
FREIGHT (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,3.00,2.93,2.62,2.96,10.89,11.02,11.02,11.53,6.05,5.90,5.77,6.02
WESTERN,31.74,30.40,33.18,31.39,31.74,31.02,31.76,30.89,31.74,30.63,32.65,31.21
SOUTHERN,35.61,36.76,34.34,34.54,26.57,27.13,26.06,26.37,32.12,33.22,31.24,31.62
NORTHERN,29.65,29.91,29.85,31.11,28.29,28.49,28.60,28.42,29.12,29.38,29.38,30.15
NORTH EAST,0.00,0.00,0.00,0.00,2.51,2.34,2.55,2.80,0.97,0.86,0.96,1.00
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
