REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,,,,,,,
"",JAN,% CHANGE,April to January,% CHANGE,JAN,% CHANGE,April to January,% CHANGE,JAN,% CHANGE,April to January,% CHANGE,,,,,,
"",2019,2018,2018-19,2017-18,2019,2018,2018-19,2017-18,2019,2018,2018-19,2017-18,,,,,,
AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,,,,,,,,,,
EASTERN,2435,2240,8.7,21335,20357,4.8,23853,21064,13.2,224429,188318,19.2,26288,23304,12.8,245764,208675,17.8
WESTERN,10204,9602,6.3,93251,89925,3.7,48129,43437,10.8,449613,405150,11.0,58333,53039,10.0,542864,495075,9.7
SOUTHERN,15780,15958,-1.1,152585,150432,1.4,62475,54179,15.3,594563,467122,27.3,78255,70137,11.6,747148,617554,21.0
NORTHERN,11811,11066,6.7,111557,104114,7.1,46763,45458,2.9,471783,434420,8.6,58574,56524,3.6,583340,538534,8.3
NORTH EAST,63,34,85.3,552,423,30.5,8009,6047,32.4,72334,59412,21.7,8072,6081,32.7,72886,59835,21.8
TOTAL,40293,38900,3.6,379280,365251,3.8,189229,170185,11.2,1812722,1554422,16.6,229522,209085,9.8,2192002,1919673,14.2
PASSENGERS (IN NUMBER),,,,,,,,,,,,,,,,,,
EASTERN,283215,263075,7.7,2512730,2338572,7.4,3198149,2902487,10.2,30240656,25033634,20.8,3481364,3165562,10.0,32753386,27372206,19.7
WESTERN,1723410,1620907,6.3,14728305,13867180,6.2,6442666,5970129,7.9,59724954,53807095,11.0,8166076,7591036,7.6,74453259,67674275,10.0
SOUTHERN,2485795,2422488,2.6,23023271,21988570,4.7,7444468,6594821,12.9,69327967,56295213,23.2,9930263,9017309,10.1,92351238,78283783,18.0
NORTHERN,1978342,1816130,8.9,17693376,16096130,9.9,6451857,6215942,3.8,63478376,57579661,10.2,8430199,8032072,5.0,81171752,73675791,10.2
NORTH EAST,1441,1537,-6.2,27800,27386,1.5,914438,730455,25.2,8228963,6869078,19.8,915879,731992,25.1,8256763,6896464,19.7
TOTAL,6472203,6124137,5.7,57985482,54317838,6.8,24451578,22413834,9.1,231000916,199584681,15.7,30923781,28537971,8.4,288986398,253902519,13.8
FREIGHT (IN TONNES),,,,,,,,,,,,,,,,,,
EASTERN,4673,4727,-1.1,51125,52099,-1.9,10466,10563,-0.9,117259,115187,1.8,15139,15290,-1.0,168384,167286,0.7
WESTERN,55151,58317,-5.4,605177,568755,6.4,33914,30370,11.7,356285,313243,13.7,89065,88687,0.4,961462,881998,9.0
SOUTHERN,57593,56303,2.3,626879,605819,3.5,24389,24287,0.4,282122,264234,6.8,81982,80590,1.7,909001,870053,4.5
NORTHERN,50873,52804,-3.7,555099,554260,0.2,38925,28036,38.8,355203,289327,22.8,89798,80840,11.1,910302,843587,7.9
NORTH EAST,7,0,-,27,2,1250.0,3142,2483,26.5,31813,29278,8.7,3149,2483,26.8,31840,29280,8.7
TOTAL,168297,172151,-2.2,1838307,1780935,3.2,110836,95739,15.8,1142682,1011269,13.0,279133,267890,4.2,2980989,2792204,6.8
REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,
"",JAN,April to January,JAN,April to January,JAN,April to January,,,,,,
"",2019,2018,2018-19,2017-18,2019,2018,2018-19,2017-18,2019,2018,2018-19,2017-18
AIRCRAFT MOVEMENTS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,6.04,5.76,5.63,5.57,12.61,12.38,12.38,12.11,11.45,11.15,11.21,10.87
WESTERN,25.32,24.68,24.59,24.62,25.43,25.52,24.80,26.06,25.41,25.37,24.77,25.79
SOUTHERN,39.16,41.02,40.23,41.19,33.02,31.84,32.80,30.05,34.09,33.54,34.09,32.17
NORTHERN,29.31,28.45,29.41,28.50,24.71,26.71,26.03,27.95,25.52,27.03,26.61,28.05
NORTH EAST,0.16,0.09,0.15,0.12,4.23,3.55,3.99,3.82,3.52,2.91,3.33,3.12
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PASSENGERS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,4.38,4.30,4.33,4.31,13.08,12.95,13.09,12.54,11.26,11.09,11.33,10.78
WESTERN,26.63,26.47,25.40,25.53,26.35,26.64,25.85,26.96,26.41,26.60,25.76,26.65
SOUTHERN,38.41,39.56,39.71,40.48,30.45,29.42,30.01,28.21,32.11,31.60,31.96,30.83
NORTHERN,30.57,29.66,30.51,29.63,26.39,27.73,27.48,28.85,27.26,28.15,28.09,29.02
NORTH EAST,0.02,0.03,0.05,0.05,3.74,3.26,3.56,3.44,2.96,2.56,2.86,2.72
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
FREIGHT (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,2.78,2.75,2.78,2.93,9.44,11.03,10.26,11.39,5.42,5.71,5.65,5.99
WESTERN,32.77,33.88,32.92,31.94,30.60,31.72,31.18,30.98,31.91,33.11,32.25,31.59
SOUTHERN,34.22,32.71,34.10,34.02,22.00,25.37,24.69,26.13,29.37,30.08,30.49,31.16
NORTHERN,30.23,30.67,30.20,31.12,35.12,29.28,31.09,28.61,32.17,30.18,30.54,30.21
NORTH EAST,0.00,0.00,0.00,0.00,2.83,2.59,2.78,2.90,1.13,0.93,1.07,1.05
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
